,Generation,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
0,0,6,6,6,6,6,7,6,6,6,13
1,1,4,8,7,7,19,10,17,22,19,22
2,2,3,5,6,8,16,13,22,33,40,32
3,3,3,5,8,8,11,9,18,26,50,36
4,4,3,4,8,8,8,11,13,26,50,41
5,5,5,5,4,9,10,10,14,25,50,42
6,6,5,6,6,9,9,8,15,24,50,41
7,7,5,7,6,11,9,7,14,24,50,42
8,8,4,6,9,10,8,4,15,24,50,40
9,9,6,6,9,11,8,7,15,19,50,38
10,10,7,8,9,10,8,7,15,19,50,38
11,11,4,8,11,6,8,7,9,18,50,41
12,12,6,8,10,7,10,8,8,21,50,36
13,13,8,6,9,10,9,8,10,23,50,39
14,14,7,6,5,8,9,8,9,21,50,47
15,15,7,6,5,8,8,9,8,23,50,48
16,16,7,6,7,9,9,8,10,21,50,43
17,17,8,4,7,7,9,9,10,21,50,45
18,18,6,5,5,8,7,10,10,27,50,47
19,19,6,5,5,7,9,9,11,30,50,50
20,20,7,6,5,7,9,8,12,22,50,49
21,21,7,7,5,6,9,8,12,18,50,48
22,22,7,5,5,5,9,9,11,17,50,47
23,23,6,6,5,6,9,9,11,21,50,48
24,24,8,6,5,7,9,10,12,23,50,42
25,25,9,7,4,7,8,10,12,26,50,44
26,26,9,8,5,7,8,10,13,21,50,45
27,27,6,8,5,9,8,11,12,17,50,48
28,28,6,9,6,10,9,8,13,22,50,47
29,29,6,8,7,10,8,7,11,20,50,46
30,30,6,8,8,10,6,7,11,18,50,43
31,31,7,9,8,8,6,7,11,20,50,38
32,32,7,9,7,8,7,7,10,21,50,39
33,33,7,8,7,8,8,7,9,18,50,41
34,34,8,6,8,8,7,6,9,13,50,44
35,35,9,7,8,9,8,7,9,12,50,42
36,36,9,7,10,9,9,7,9,13,50,38
37,37,8,8,10,8,9,7,10,13,50,40
38,38,7,8,11,8,7,7,9,13,50,43
39,39,7,8,12,9,6,8,9,13,50,34
40,40,8,8,11,7,7,9,10,13,50,34
41,41,7,8,12,7,6,10,9,12,50,38
42,42,7,9,11,9,6,10,9,12,50,36
43,43,7,7,9,9,5,10,9,11,50,34
44,44,8,7,10,9,5,9,10,11,50,33
45,45,10,9,10,8,5,9,10,11,50,35
46,46,10,7,9,8,6,9,11,11,50,37
47,47,10,8,9,6,6,8,11,11,50,36
48,48,10,8,9,7,7,8,11,10,50,38
49,49,11,7,8,8,6,9,11,10,50,32
50,50,10,9,8,9,6,10,10,11,50,33
51,51,10,8,7,10,6,8,11,10,50,38
52,52,8,7,7,10,5,8,11,10,50,38
53,53,9,6,9,12,5,8,11,10,50,37
54,54,9,6,8,11,5,9,10,11,50,37
55,55,7,5,8,10,6,9,10,12,50,39
56,56,7,5,7,10,5,9,9,12,50,35
57,57,7,4,7,7,5,9,9,12,50,31
58,58,8,6,5,7,6,9,10,13,50,29
59,59,7,6,6,8,7,10,10,13,50,24
60,60,7,6,7,10,7,9,10,12,50,26
61,61,7,7,8,10,7,9,9,12,50,27
62,62,8,7,8,10,7,9,9,13,50,30
63,63,7,9,8,10,7,8,8,13,50,22
64,64,8,8,8,10,7,7,10,12,50,24
65,65,8,8,7,11,5,9,10,11,50,26
66,66,7,9,7,12,7,9,11,11,50,24
67,67,8,9,7,9,6,8,10,9,50,25
68,68,9,8,8,8,6,7,11,10,50,30
69,69,6,9,7,7,6,7,10,10,50,27
70,70,7,9,7,6,6,8,10,10,50,31
71,71,6,8,8,7,7,8,8,10,50,31
72,72,6,8,6,7,8,9,8,10,50,33
73,73,7,8,6,7,8,8,8,11,50,32
74,74,7,8,5,7,9,8,8,10,50,25
75,75,5,8,5,8,9,8,9,10,50,27
76,76,5,9,7,8,9,9,9,10,50,29
77,77,7,8,7,8,11,9,9,10,50,33
78,78,7,8,7,8,9,10,9,10,50,30
79,79,7,8,7,8,10,10,9,10,50,33
80,80,7,8,6,8,9,11,8,10,50,30
81,81,7,8,6,8,9,11,7,10,50,30
82,82,7,9,7,8,9,11,7,10,50,30
83,83,7,9,6,7,9,11,8,10,50,36
84,84,5,10,6,8,9,11,8,10,50,40
85,85,5,7,7,8,9,10,8,11,50,41
86,86,3,7,8,10,9,10,8,11,50,44
87,87,3,6,8,11,8,10,8,11,50,43
88,88,3,7,8,11,8,11,8,11,50,42
89,89,3,6,8,12,9,10,8,11,50,42
90,90,3,4,7,11,8,10,8,12,50,35
91,91,3,5,7,11,8,10,9,12,50,32
92,92,3,6,7,11,8,10,9,12,50,31
93,93,4,6,7,10,8,11,9,12,50,34
94,94,4,7,7,10,8,10,9,12,50,35
95,95,5,8,7,10,8,10,8,12,50,25
96,96,5,7,8,10,8,10,9,12,50,30
97,97,4,7,8,11,8,10,11,11,50,34
98,98,5,9,7,11,8,10,11,11,50,25
99,99,6,8,9,12,8,10,11,11,50,28
100,100,4,7,8,12,8,11,10,11,50,35
