,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,80,1.0,598,136,20,8,17,6
1,80,1.0,622,119,21,7,17,3
2,80,1.0,714,96,19,4,24,3
3,80,1.0,722,88,19,4,22,1
4,80,1.0,772,80,19,4,20,3
5,80,1.0,801,77,19,7,11,1
6,80,1.0,835,72,19,4,18,1
7,80,1.0,855,68,19,4,17,2
8,80,1.0,989,60,19,4,15,3
9,80,1.0,989,60,20,4,15,3
10,90,1.0,989,60,19,4,15,3
11,80,0.9996301433194638,959,54,20,6,9,1
12,80,0.9995376791493297,583,126,21,7,18,2
13,80,0.9994452149791956,879,64,19,4,16,3
14,80,0.9989828941285251,623,110,19,5,22,1
15,95,0.9989828941285251,623,110,19,5,22,1
16,80,0.998705501618123,714,84,19,4,21,2
17,80,0.9980582524271845,513,154,20,7,22,5
18,80,0.9980582524271845,843,64,20,4,16,3
19,80,0.997411003236246,773,72,19,4,18,1
20,80,0.9973185390661119,764,77,19,7,11,1
21,80,0.9971336107258437,772,72,19,4,18,1
22,90,0.9971336107258437,772,72,19,4,18,1
23,80,0.9967637540453075,602,110,20,11,10,6
24,80,0.9955617198335645,896,60,20,4,15,3
25,80,0.9952843273231623,756,72,19,4,18,1
26,80,0.9938973647711512,743,72,19,4,18,1
27,90,0.9938973647711512,743,72,19,4,18,1
28,80,0.9935275080906149,989,48,20,6,8,2
29,80,0.9933425797503468,773,68,20,4,17,2
30,80,0.9930651872399445,602,105,20,5,21,2
31,80,0.9928802588996763,535,126,21,7,18,2
32,80,0.9923254738788719,625,100,20,5,20,3
33,90,0.9923254738788719,625,100,20,5,20,3
34,80,0.9914008321775312,675,88,19,4,22,1
35,80,0.991123439667129,531,126,21,7,18,2
36,80,0.9907535829865927,511,136,21,8,17,6
37,80,0.9903837263060564,867,54,20,6,9,1
38,80,0.9901987979657882,511,133,20,7,19,1
39,80,0.9892741562644475,668,84,19,4,21,2
40,80,0.9871474803513638,864,60,22,4,15,3
