,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,99,1.0,501,187,19,11,17,1
1,99,1.0,602,126,21,7,18,2
2,99,1.0,604,117,19,9,13,1
3,99,1.0,689,105,19,5,21,2
4,99,1.0,767,84,19,4,21,2
5,99,1.0,801,77,19,7,11,1
6,99,1.0,837,72,19,4,18,1
7,99,0.9999075358298659,633,110,19,5,22,1
8,99,0.9997226074895977,980,56,20,4,14,1
9,99,0.9996301433194638,501,176,21,8,22,1
10,99,0.9996301433194638,550,154,20,7,22,4
11,99,0.9995376791493297,583,126,21,7,18,2
12,99,0.9995376791493297,630,110,19,5,22,1
13,99,0.9995376791493297,801,72,19,4,18,1
14,99,0.9993527508090615,501,168,21,8,21,2
15,99,0.9990753582986592,837,70,19,7,10,1
16,99,0.9989828941285251,583,117,20,9,13,1
17,99,0.9989828941285251,623,110,19,5,22,1
18,99,0.9986130374479889,635,105,19,5,21,2
19,99,0.9983356449375866,582,117,20,9,13,1
20,99,0.9982431807674527,791,72,20,4,18,1
21,99,0.997595931576514,630,105,20,5,21,2
22,99,0.997595931576514,630,105,19,5,21,2
23,99,0.997411003236246,767,77,19,7,11,1
24,99,0.9971336107258437,772,72,19,4,18,1
25,90,0.9971336107258437,772,72,19,4,18,1
26,99,0.9968562182154416,604,110,19,5,22,1
27,99,0.9968562182154416,623,105,19,5,21,2
28,99,0.996208969024503,767,72,19,4,18,1
29,99,0.9959315765141008,550,126,21,7,18,2
30,99,0.9957466481738326,689,88,19,4,22,1
31,99,0.9939898289412853,791,70,19,7,10,1
32,99,0.9935275080906149,630,100,20,5,20,3
33,99,0.9931576514100786,689,84,19,4,21,2
34,99,0.9930651872399445,602,105,20,5,21,2
35,99,0.9919556171983357,583,110,19,5,22,1
36,99,0.9916782246879334,582,110,19,5,22,1
37,99,0.9909385113268608,552,117,20,9,13,1
38,99,0.9904761904761905,501,154,20,7,22,4
39,99,0.9904761904761905,623,100,19,5,20,3
40,99,0.9897364771151179,550,117,20,9,13,1
41,99,0.9893666204345816,527,126,21,7,18,2
42,99,0.9888118354137772,767,70,19,7,10,1
43,99,0.9881645862228386,724,72,19,4,18,1
44,99,0.984835876098012,582,105,19,5,21,2
45,99,0.984835876098012,988,52,20,4,13,1
46,99,0.9837263060564031,513,126,20,7,18,2
47,99,0.9833564493758669,501,144,21,9,16,1
48,99,0.9833564493758669,604,100,19,5,20,3
49,99,0.9815071659731854,552,110,20,5,22,2
50,99,0.979750346740638,635,88,19,4,22,1
51,99,0.979750346740638,879,56,19,4,14,1
52,99,0.9791955617198336,550,110,20,5,22,1
53,99,0.9782709200184928,567,105,19,5,21,3
54,99,0.9782709200184928,633,88,19,4,22,1
55,99,0.9768839574664817,527,117,19,9,13,1
56,90,0.9768839574664817,527,117,19,9,13,1
57,99,0.9768839574664817,701,72,19,4,18,1
58,99,0.9767914932963476,630,88,19,4,22,1
59,99,0.9759593157651411,689,77,19,7,11,1
60,99,0.9742949607027277,501,126,21,7,18,2
61,99,0.9736477115117892,623,88,19,4,22,1
62,99,0.973462783171521,635,84,19,4,21,2
63,99,0.9709662505779011,689,72,20,4,18,1
64,99,0.9704114655570967,630,84,19,4,21,2
65,99,0.9685621821544151,837,56,20,4,14,1
66,99,0.9679149329634766,623,84,19,4,21,2
67,99,0.9677300046232085,513,117,20,9,13,1
68,99,0.963291724456773,604,88,19,4,22,1
69,99,0.960795191863153,527,110,20,5,22,1
70,99,0.9596856218215442,630,80,19,4,20,3
