,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
0,0,1.0,0.009986130374479889,0.6299667969570882,0.33332929230049513,984,513,703.030303030303,129.7308475383951,216.0,1.0,59.0,47.524993424512964
1,1,1.0,0.009986130374479889,0.6735620965394428,0.3267059458564689,988,513,712.8518518518518,137.6294460879219,216.0,1.0,65.81481481481481,53.01052728275061
2,2,1.0,0.009986130374479889,0.7031179462076093,0.31306626979316104,988,513,699.0,128.86554371983596,221.0,1.0,68.69117647058823,53.26202683969953
3,3,1.0,0.009986130374479889,0.7143570119590706,0.3056065708337765,988,513,703.6024096385543,127.80854009397062,221.0,1.0,67.27710843373494,50.06442514108807
4,4,1.0,0.009986130374479889,0.7363727496189286,0.29411602661892344,988,513,694.8217821782179,127.52093130459829,221.0,1.0,69.70297029702971,49.54524085206478
5,5,1.0,0.009986130374479889,0.7349035119261657,0.2894631594071526,990,513,687.6944444444445,128.18396959957704,221.0,1.0,69.5925925925926,48.562713483486476
6,6,1.0,0.009986130374479889,0.7330665514654056,0.2839773330500542,990,513,688.1229508196722,127.79849698859145,221.0,1.0,67.69672131147541,46.76508716543905
7,7,1.0,0.009986130374479889,0.7357011273516129,0.27784373208589247,990,513,684.8307692307692,127.0694212059111,230.0,1.0,68.3076923076923,48.160237411182784
8,8,1.0,0.009986130374479889,0.7355850312229363,0.27486163976002903,990,513,685.2253521126761,126.15421129106583,230.0,1.0,68.14084507042253,48.68214922516775
9,9,1.0,0.009986130374479889,0.7347038713288075,0.2700962083523189,990,513,686.046052631579,123.97336494627855,230.0,1.0,65.21052631578948,43.65542858287239
10,10,1.0,0.009986130374479889,0.7271079833107881,0.271928296563342,990,513,687.6234567901234,125.29175965091869,221.0,1.0,63.376543209876544,42.96091180661655
11,11,1.0,0.009986130374479889,0.7201414157896168,0.2737607475307514,990,513,686.1705882352941,126.38005172108731,221.0,1.0,61.3,40.815771693487726
12,12,1.0,0.009986130374479889,0.7099277458556238,0.2701779932791169,990,513,683.2514285714286,128.26236888088403,221.0,1.0,59.537142857142854,41.090138409945034
13,13,1.0,0.009986130374479889,0.715816403527053,0.2681013180674487,990,513,684.1658031088083,129.95297014490222,221.0,1.0,60.362694300518136,42.12373955823013
14,14,1.0,0.009986130374479889,0.7218749929524261,0.26469700026240806,990,513,686.0731707317074,133.26587574997205,221.0,1.0,60.84390243902439,42.37698487907577
15,15,1.0,0.009986130374479889,0.7260941593465865,0.2651956002028862,990,513,692.4768518518518,135.95265735934072,221.0,1.0,60.31018518518518,41.576727479114126
16,16,1.0,0.009986130374479889,0.726723570827758,0.26536744301428394,990,513,693.3568281938326,136.84472333612058,221.0,1.0,60.29955947136564,41.2762992031901
17,17,1.0,0.009986130374479889,0.7177826853896689,0.2636012896330882,990,513,696.3648068669528,135.6821842963,168.0,1.0,56.44206008583691,34.6813989080676
18,18,1.0,0.009986130374479889,0.7145172665083805,0.26732658195835424,990,513,697.9449152542373,139.07166809833103,168.0,1.0,56.15677966101695,35.37875303916973
19,19,1.0,0.009986130374479889,0.718292494991524,0.2664110568393407,990,513,696.4875,138.40441564442398,168.0,1.0,56.84166666666667,36.011968218235246
20,20,1.0,0.009986130374479889,0.7186307754724636,0.26444258532642356,990,513,692.3795918367347,138.58848889403146,168.0,1.0,57.06938775510204,36.18892936009819
21,21,1.0,0.006749884419787333,0.7118713720655468,0.26611238499711093,990,513,685.5753968253969,135.23889983921924,168.0,1.0,56.87301587301587,36.71620116949018
22,22,1.0,0.006749884419787333,0.7133557381130197,0.26494111352347205,990,513,687.7384615384616,135.66484673101812,168.0,1.0,56.6,36.57279196300322
23,23,1.0,0.006749884419787333,0.7128645951932432,0.26654457859034386,990,513,687.5559701492538,135.49363433570315,168.0,1.0,56.776119402985074,37.096925741782265
24,24,1.0,0.006749884419787333,0.7151862492569844,0.26843295531158357,990,513,690.6857142857143,136.60946013382187,168.0,1.0,56.607142857142854,36.61211904034894
25,25,1.0,0.006749884419787333,0.7093851132686084,0.2703632002146653,990,513,690.903448275862,136.37049189884377,168.0,1.0,55.92758620689655,36.62498057017776
26,26,1.0,0.006749884419787333,0.7131864527495596,0.26985223198941755,990,513,691.4695945945946,136.28956867641992,168.0,1.0,56.070945945945944,36.34950446752138
27,27,1.0,0.006749884419787333,0.7174177498076173,0.2693301181375057,990,513,691.4201954397394,135.7563031287216,168.0,1.0,56.45928338762215,36.30491067822737
28,28,1.0,0.006749884419787333,0.7187894532138638,0.2669122471342431,990,513,693.5428571428571,135.49278039652683,168.0,1.0,56.31111111111111,36.174977764712175
29,29,1.0,0.006749884419787333,0.7146669511718055,0.2696054730073211,990,500,692.5630769230769,136.79652769900017,168.0,1.0,55.85846153846154,35.972017984438196
30,30,1.0,0.006749884419787333,0.7100459351817684,0.2732984686490353,990,500,691.5076452599388,135.6789983215622,168.0,1.0,55.58103975535168,36.2006847733119
31,31,1.0,0.006749884419787333,0.706092718376765,0.2739043306552872,990,500,690.4592145015106,136.02990089521847,168.0,1.0,54.87009063444109,35.85963434624379
32,32,1.0,0.006749884419787333,0.7056278045198662,0.2753984963552872,990,500,691.2764705882353,136.61171654236338,168.0,1.0,55.09411764705882,36.493381960949726
33,33,1.0,0.006749884419787333,0.7031248869324006,0.2744274032279027,990,500,690.8753623188405,137.26215836116032,168.0,1.0,54.321739130434786,35.591402433722564
34,34,1.0,0.006749884419787333,0.7024252473674831,0.2750501976033352,988,500,693.086592178771,137.7923001150183,168.0,1.0,54.10335195530726,35.74117884854419
