,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784557,0.34144549941169766,993.0,513.0,760.64,144.81170670909174,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,21,1.0,0.8339343504392048,0.9716264447526584,0.05017823247400027,993.0,513.0,790.68,127.11954059073688,294.0,42.0,141.36,72.68693417664554,1,50,21,1,50,21,1,50,21
2,2,50,17,1.0,0.9980582524271845,0.9997836338418864,0.00047853580410977127,993.0,513.0,802.42,109.4285319283778,322.0,88.0,180.74,65.82060771521333,2,50,17,2,50,17,2,50,17
3,3,50,10,1.0,1.0,1.0,0.0,991.0,513.0,778.94,102.3610101552344,322.0,70.0,170.24,64.88283594295181,3,50,10,3,50,10,3,50,10
4,4,50,5,1.0,1.0,1.0,0.0,991.0,513.0,731.64,97.54645252391293,322.0,70.0,176.32,65.53424753516286,4,50,5,4,50,5,4,50,5
5,5,50,8,1.0,1.0,1.0,0.0,932.0,513.0,705.4,98.63488226788736,312.0,70.0,167.78,59.15954360878725,5,50,8,5,50,8,5,50,8
6,6,50,5,1.0,1.0,1.0,0.0,932.0,513.0,687.68,100.41363254060676,312.0,70.0,159.96,53.644742519654244,6,50,5,6,50,5,6,50,5
7,7,50,7,1.0,1.0,1.0,0.0,960.0,513.0,688.64,120.6876563696553,312.0,70.0,162.76,59.769744854733986,7,50,7,7,50,7,7,50,7
8,8,50,6,1.0,1.0,1.0,0.0,960.0,513.0,699.22,143.47603144776483,273.0,70.0,162.98,66.80134429785076,8,50,6,8,50,6,8,50,6
9,9,50,11,1.0,1.0,1.0,0.0,960.0,513.0,704.88,133.03618154472113,273.0,70.0,151.42,59.205773367130334,9,50,11,9,50,11,9,50,11
10,10,50,8,1.0,1.0,1.0,0.0,865.0,513.0,684.5,120.4604914484413,273.0,70.0,148.82,55.919116588157934,10,50,8,10,50,8,10,50,8
11,11,50,11,1.0,1.0,1.0,0.0,865.0,513.0,688.08,116.05306372517704,260.0,70.0,139.7,45.71531472056164,11,50,11,11,50,11,11,50,11
12,12,50,4,1.0,1.0,1.0,0.0,865.0,513.0,680.92,118.89875356789909,260.0,70.0,142.52,47.75740361451824,12,50,4,12,50,4,12,50,4
13,13,50,4,1.0,1.0,1.0,0.0,865.0,513.0,684.86,132.04241894179307,216.0,70.0,138.9,48.447187740879244,13,50,4,13,50,4,13,50,4
14,14,50,10,1.0,1.0,1.0,0.0,865.0,513.0,710.92,123.77735495638933,216.0,70.0,126.76,42.291162197319665,14,50,10,14,50,10,14,50,10
15,15,50,4,1.0,1.0,1.0,0.0,865.0,513.0,720.28,125.58296699791735,207.0,70.0,120.46,39.41025754800392,15,50,4,15,50,4,15,50,4
16,16,50,3,1.0,1.0,1.0,0.0,865.0,513.0,732.08,119.3079779394488,207.0,70.0,115.4,35.67576208015745,16,50,3,16,50,3,16,50,3
17,17,50,8,1.0,1.0,1.0,0.0,865.0,513.0,736.34,118.0487373926549,207.0,70.0,111.4,34.81551378336962,17,50,8,17,50,8,17,50,8
18,18,50,6,1.0,1.0,1.0,0.0,865.0,513.0,758.86,110.91005545035132,180.0,70.0,101.16,26.469877219209007,18,50,6,18,50,6,18,50,6
19,19,50,6,1.0,1.0,1.0,0.0,865.0,513.0,808.76,82.31586967286442,180.0,70.0,90.72,21.849521733896147,19,50,6,19,50,6,19,50,6
20,20,50,1,1.0,1.0,1.0,0.0,865.0,513.0,803.42,87.20070871271632,264.0,70.0,94.04,32.76703221227091,20,50,1,20,50,1,20,50,1
21,21,50,1,1.0,1.0,1.0,0.0,865.0,513.0,793.26,95.21340451848154,264.0,70.0,100.96,43.96951671328672,21,50,1,21,50,1,21,50,1
22,22,50,2,1.0,1.0,1.0,0.0,865.0,513.0,794.78,95.29287276601539,180.0,70.0,94.0,26.587214972614188,22,50,2,22,50,2,22,50,2
23,23,50,4,1.0,1.0,1.0,0.0,865.0,513.0,779.68,104.09696249170769,180.0,70.0,97.84,29.863261710670518,23,50,4,23,50,4,23,50,4
24,24,50,3,1.0,1.0,1.0,0.0,865.0,513.0,777.08,103.44251350387808,180.0,70.0,97.84,29.863261710670518,24,50,3,24,50,3,24,50,3
25,25,50,5,1.0,1.0,1.0,0.0,865.0,513.0,746.3,116.35415763951025,180.0,70.0,107.44,36.92379178795158,25,50,5,25,50,5,25,50,5
26,26,50,1,1.0,1.0,1.0,0.0,865.0,513.0,731.9,114.7726883888323,180.0,70.0,110.32,38.08487363770556,26,50,1,26,50,1,26,50,1
27,27,50,2,1.0,1.0,1.0,0.0,865.0,513.0,694.3,112.64124466641871,180.0,70.0,118.12,39.87261717018335,27,50,2,27,50,2,27,50,2
28,28,50,4,1.0,1.0,1.0,0.0,865.0,513.0,687.94,114.3874835810282,180.0,70.0,112.76,35.04029680239595,28,50,4,28,50,4,28,50,4
29,29,50,3,1.0,1.0,1.0,0.0,865.0,513.0,701.12,117.9775639687479,180.0,70.0,109.6,36.84345260694226,29,50,3,29,50,3,29,50,3
30,30,50,3,1.0,1.0,1.0,0.0,865.0,511.0,677.92,129.74680574102777,198.0,70.0,118.72,40.397544479831936,30,50,3,30,50,3,30,50,3
31,31,50,3,1.0,1.0,1.0,0.0,865.0,511.0,683.46,122.3235398441363,198.0,70.0,115.0,33.2391335627149,31,50,3,31,50,3,31,50,3
32,32,50,3,1.0,1.0,1.0,0.0,865.0,511.0,705.96,130.8739790791126,198.0,70.0,109.76,35.17872084087197,32,50,3,32,50,3,32,50,3
33,33,50,2,1.0,1.0,1.0,0.0,865.0,511.0,760.8,134.51780551287627,198.0,70.0,97.44,38.34796474390786,33,50,2,33,50,2,33,50,2
34,34,50,1,1.0,1.0,1.0,0.0,865.0,511.0,795.0,126.12993300561132,198.0,70.0,90.08,39.15295135746474,34,50,1,34,50,1,34,50,1
35,35,50,1,1.0,1.0,1.0,0.0,865.0,511.0,822.72,105.78148042072394,198.0,70.0,82.56,33.81133537735533,35,50,1,35,50,1,35,50,1
