Comparison,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
NSGA-NC vs NSGA-C50 (Full Pareto Front),0.5705967976710334,0.4294032023289665,,,,,,,,
NSGA-NC vs NSGA-C50 (100% Coverage),0.4,0.6,,,,,,,,
NSGA-NC vs NSGA-C60 (Full Pareto Front),0.587289992695398,,0.4127100073046019,,,,,,,
NSGA-NC vs NSGA-C60 (100% Coverage),0.3888888888888889,,0.6111111111111112,,,,,,,
NSGA-NC vs NSGA-C70 (Full Pareto Front),0.6027900146842878,,,0.39720998531571217,,,,,,
NSGA-NC vs NSGA-C70 (100% Coverage),0.391304347826087,,,0.6086956521739131,,,,,,
NSGA-NC vs NSGA-C80 (Full Pareto Front),0.64,,,,0.36,,,,,
NSGA-NC vs NSGA-C80 (100% Coverage),0.2727272727272727,,,,0.7272727272727273,,,,,
NSGA-NC vs NSGA-C90 (Full Pareto Front),0.690533015115354,,,,,0.30946698488464597,,,,
NSGA-NC vs NSGA-C90 (100% Coverage),0.25,,,,,0.75,,,,
NSGA-NC vs NSGA-C95 (Full Pareto Front),0.7089241034195163,,,,,,0.2910758965804837,,,
NSGA-NC vs NSGA-C95 (100% Coverage),0.3181818181818182,,,,,,0.6818181818181818,,,
NSGA-NC vs NSGA-C99 (Full Pareto Front),0.7847769028871391,,,,,,,0.2152230971128609,,
NSGA-NC vs NSGA-C99 (100% Coverage),0.5,,,,,,,0.5,,
NSGA-NC vs NSGA-C100 (Full Pareto Front),0.8915779283639884,,,,,,,,0.10842207163601161,
NSGA-NC vs NSGA-C100 (100% Coverage),0.6666666666666666,,,,,,,,0.3333333333333333,
NSGA-NC vs MOGA-WS (Full Pareto Front),0.9585858585858585,,,,,,,,,0.04141414141414142
NSGA-NC vs MOGA-WS (100% Coverage),0.7692307692307693,,,,,,,,,0.23076923076923078
NSGA-C50 vs NSGA-NC (Full Pareto Front),0.5705967976710334,0.4294032023289665,,,,,,,,
NSGA-C50 vs NSGA-NC (100% Coverage),0.4,0.6,,,,,,,,
NSGA-C50 vs NSGA-C60 (Full Pareto Front),,0.5059121621621622,0.49408783783783783,,,,,,,
NSGA-C50 vs NSGA-C60 (100% Coverage),,0.35294117647058826,0.6470588235294118,,,,,,,
NSGA-C50 vs NSGA-C70 (Full Pareto Front),,0.5333904109589042,,0.4666095890410959,,,,,,
NSGA-C50 vs NSGA-C70 (100% Coverage),,0.35714285714285715,,0.6428571428571429,,,,,,
NSGA-C50 vs NSGA-C80 (Full Pareto Front),,0.5674904942965779,,,0.43250950570342206,,,,,
NSGA-C50 vs NSGA-C80 (100% Coverage),,0.23809523809523808,,,0.7619047619047619,,,,,
NSGA-C50 vs NSGA-C90 (Full Pareto Front),,0.6392649903288201,,,,0.3607350096711799,,,,
NSGA-C50 vs NSGA-C90 (100% Coverage),,0.2631578947368421,,,,0.7368421052631579,,,,
NSGA-C50 vs NSGA-C95 (Full Pareto Front),,0.6489151873767258,,,,,0.3510848126232742,,,
NSGA-C50 vs NSGA-C95 (100% Coverage),,0.34782608695652173,,,,,0.6521739130434783,,,
NSGA-C50 vs NSGA-C99 (Full Pareto Front),,0.7438370846730975,,,,,,0.25616291532690244,,
NSGA-C50 vs NSGA-C99 (100% Coverage),,0.5555555555555556,,,,,,0.4444444444444444,,
NSGA-C50 vs NSGA-C100 (Full Pareto Front),,0.8607142857142858,,,,,,,0.1392857142857143,
NSGA-C50 vs NSGA-C100 (100% Coverage),,0.7,,,,,,,0.3,
NSGA-C50 vs MOGA-WS (Full Pareto Front),,0.9558080808080808,,,,,,,,0.04419191919191919
NSGA-C50 vs MOGA-WS (100% Coverage),,0.8,,,,,,,,0.2
NSGA-C60 vs NSGA-NC (Full Pareto Front),0.587289992695398,,0.4127100073046019,,,,,,,
NSGA-C60 vs NSGA-NC (100% Coverage),0.3888888888888889,,0.6111111111111112,,,,,,,
NSGA-C60 vs NSGA-C50 (Full Pareto Front),,0.5059121621621622,0.49408783783783783,,,,,,,
NSGA-C60 vs NSGA-C50 (100% Coverage),,0.35294117647058826,0.6470588235294118,,,,,,,
NSGA-C60 vs NSGA-C70 (Full Pareto Front),,,0.5251299826689775,0.4748700173310225,,,,,,
NSGA-C60 vs NSGA-C70 (100% Coverage),,,0.5238095238095238,0.47619047619047616,,,,,,
NSGA-C60 vs NSGA-C80 (Full Pareto Front),,,0.5566127497621313,,0.4433872502378687,,,,,
NSGA-C60 vs NSGA-C80 (100% Coverage),,,0.43478260869565216,,0.5652173913043478,,,,,
NSGA-C60 vs NSGA-C90 (Full Pareto Front),,,0.6364522417153996,,,0.3635477582846004,,,,
NSGA-C60 vs NSGA-C90 (100% Coverage),,,0.5789473684210527,,,0.42105263157894735,,,,
NSGA-C60 vs NSGA-C95 (Full Pareto Front),,,0.6465256797583081,,,,0.35347432024169184,,,
NSGA-C60 vs NSGA-C95 (100% Coverage),,,0.4782608695652174,,,,0.5217391304347826,,,
NSGA-C60 vs NSGA-C99 (Full Pareto Front),,,0.7235859124866596,,,,,0.27641408751334046,,
NSGA-C60 vs NSGA-C99 (100% Coverage),,,0.631578947368421,,,,,0.3684210526315789,,
NSGA-C60 vs NSGA-C100 (Full Pareto Front),,,0.850835322195704,,,,,,0.14916467780429593,
NSGA-C60 vs NSGA-C100 (100% Coverage),,,0.875,,,,,,0.125,
NSGA-C60 vs MOGA-WS (Full Pareto Front),,,0.951948051948052,,,,,,,0.048051948051948054
NSGA-C60 vs MOGA-WS (100% Coverage),,,0.9230769230769231,,,,,,,0.07692307692307693
NSGA-C70 vs NSGA-NC (Full Pareto Front),0.6027900146842878,,,0.39720998531571217,,,,,,
NSGA-C70 vs NSGA-NC (100% Coverage),0.391304347826087,,,0.6086956521739131,,,,,,
NSGA-C70 vs NSGA-C50 (Full Pareto Front),,0.5333904109589042,,0.4666095890410959,,,,,,
NSGA-C70 vs NSGA-C50 (100% Coverage),,0.35714285714285715,,0.6428571428571429,,,,,,
NSGA-C70 vs NSGA-C60 (Full Pareto Front),,,0.5251299826689775,0.4748700173310225,,,,,,
NSGA-C70 vs NSGA-C60 (100% Coverage),,,0.5238095238095238,0.47619047619047616,,,,,,
NSGA-C70 vs NSGA-C80 (Full Pareto Front),,,,0.5339233038348082,0.46607669616519176,,,,,
NSGA-C70 vs NSGA-C80 (100% Coverage),,,,0.35,0.65,,,,,
NSGA-C70 vs NSGA-C90 (Full Pareto Front),,,,0.6131013306038895,,0.38689866939611056,,,,
NSGA-C70 vs NSGA-C90 (100% Coverage),,,,0.46153846153846156,,0.5384615384615384,,,,
NSGA-C70 vs NSGA-C95 (Full Pareto Front),,,,0.6189989785495403,,,0.38100102145045966,,,
NSGA-C70 vs NSGA-C95 (100% Coverage),,,,0.4,,,0.6,,,
NSGA-C70 vs NSGA-C99 (Full Pareto Front),,,,0.7180365296803652,,,,0.2819634703196347,,
NSGA-C70 vs NSGA-C99 (100% Coverage),,,,0.5263157894736842,,,,0.47368421052631576,,
NSGA-C70 vs NSGA-C100 (Full Pareto Front),,,,0.847394540942928,,,,,0.15260545905707196,
NSGA-C70 vs NSGA-C100 (100% Coverage),,,,0.9166666666666666,,,,,0.08333333333333333,
NSGA-C70 vs MOGA-WS (Full Pareto Front),,,,0.9487870619946092,,,,,,0.05121293800539083
NSGA-C70 vs MOGA-WS (100% Coverage),,,,0.8695652173913043,,,,,,0.13043478260869565
NSGA-C80 vs NSGA-NC (Full Pareto Front),0.64,,,,0.36,,,,,
NSGA-C80 vs NSGA-NC (100% Coverage),0.2727272727272727,,,,0.7272727272727273,,,,,
NSGA-C80 vs NSGA-C50 (Full Pareto Front),,0.5674904942965779,,,0.43250950570342206,,,,,
NSGA-C80 vs NSGA-C50 (100% Coverage),,0.23809523809523808,,,0.7619047619047619,,,,,
NSGA-C80 vs NSGA-C60 (Full Pareto Front),,,0.5566127497621313,,0.4433872502378687,,,,,
NSGA-C80 vs NSGA-C60 (100% Coverage),,,0.43478260869565216,,0.5652173913043478,,,,,
NSGA-C80 vs NSGA-C70 (Full Pareto Front),,,,0.5339233038348082,0.46607669616519176,,,,,
NSGA-C80 vs NSGA-C70 (100% Coverage),,,,0.35,0.65,,,,,
NSGA-C80 vs NSGA-C90 (Full Pareto Front),,,,,0.6036655211912944,0.3963344788087056,,,,
NSGA-C80 vs NSGA-C90 (100% Coverage),,,,,0.5263157894736842,0.47368421052631576,,,,
NSGA-C80 vs NSGA-C95 (Full Pareto Front),,,,,0.6116389548693587,,0.38836104513064135,,,
NSGA-C80 vs NSGA-C95 (100% Coverage),,,,,0.625,,0.375,,,
NSGA-C80 vs NSGA-C99 (Full Pareto Front),,,,,0.6862244897959183,,,0.3137755102040816,,
NSGA-C80 vs NSGA-C99 (100% Coverage),,,,,0.6190476190476191,,,0.38095238095238093,,
NSGA-C80 vs NSGA-C100 (Full Pareto Front),,,,,0.8243831640058055,,,,0.17561683599419448,
NSGA-C80 vs NSGA-C100 (100% Coverage),,,,,0.8888888888888888,,,,0.1111111111111111,
NSGA-C80 vs MOGA-WS (Full Pareto Front),,,,,0.9410828025477707,,,,,0.0589171974522293
NSGA-C80 vs MOGA-WS (100% Coverage),,,,,0.8333333333333334,,,,,0.16666666666666666
NSGA-C90 vs NSGA-NC (Full Pareto Front),0.690533015115354,,,,,0.30946698488464597,,,,
NSGA-C90 vs NSGA-NC (100% Coverage),0.25,,,,,0.75,,,,
NSGA-C90 vs NSGA-C50 (Full Pareto Front),,0.6392649903288201,,,,0.3607350096711799,,,,
NSGA-C90 vs NSGA-C50 (100% Coverage),,0.2631578947368421,,,,0.7368421052631579,,,,
NSGA-C90 vs NSGA-C60 (Full Pareto Front),,,0.6364522417153996,,,0.3635477582846004,,,,
NSGA-C90 vs NSGA-C60 (100% Coverage),,,0.5789473684210527,,,0.42105263157894735,,,,
NSGA-C90 vs NSGA-C70 (Full Pareto Front),,,,0.6131013306038895,,0.38689866939611056,,,,
NSGA-C90 vs NSGA-C70 (100% Coverage),,,,0.46153846153846156,,0.5384615384615384,,,,
NSGA-C90 vs NSGA-C80 (Full Pareto Front),,,,,0.6036655211912944,0.3963344788087056,,,,
NSGA-C90 vs NSGA-C80 (100% Coverage),,,,,0.5263157894736842,0.47368421052631576,,,,
NSGA-C90 vs NSGA-C95 (Full Pareto Front),,,,,,0.5182038834951457,0.4817961165048544,,,
NSGA-C90 vs NSGA-C95 (100% Coverage),,,,,,0.5263157894736842,0.47368421052631576,,,
NSGA-C90 vs NSGA-C99 (Full Pareto Front),,,,,,0.6219839142091153,,0.3780160857908847,,
NSGA-C90 vs NSGA-C99 (100% Coverage),,,,,,0.6111111111111112,,0.3888888888888889,,
NSGA-C90 vs NSGA-C100 (Full Pareto Front),,,,,,0.7704402515723271,,,0.22955974842767296,
NSGA-C90 vs NSGA-C100 (100% Coverage),,,,,,0.7368421052631579,,,0.2631578947368421,
NSGA-C90 vs MOGA-WS (Full Pareto Front),,,,,,0.9280575539568345,,,,0.07194244604316546
NSGA-C90 vs MOGA-WS (100% Coverage),,,,,,0.9333333333333333,,,,0.06666666666666667
NSGA-C95 vs NSGA-NC (Full Pareto Front),0.7089241034195163,,,,,,0.2910758965804837,,,
NSGA-C95 vs NSGA-NC (100% Coverage),0.3181818181818182,,,,,,0.6818181818181818,,,
NSGA-C95 vs NSGA-C50 (Full Pareto Front),,0.6489151873767258,,,,,0.3510848126232742,,,
NSGA-C95 vs NSGA-C50 (100% Coverage),,0.34782608695652173,,,,,0.6521739130434783,,,
NSGA-C95 vs NSGA-C60 (Full Pareto Front),,,0.6465256797583081,,,,0.35347432024169184,,,
NSGA-C95 vs NSGA-C60 (100% Coverage),,,0.4782608695652174,,,,0.5217391304347826,,,
NSGA-C95 vs NSGA-C70 (Full Pareto Front),,,,0.6189989785495403,,,0.38100102145045966,,,
NSGA-C95 vs NSGA-C70 (100% Coverage),,,,0.4,,,0.6,,,
NSGA-C95 vs NSGA-C80 (Full Pareto Front),,,,,0.6116389548693587,,0.38836104513064135,,,
NSGA-C95 vs NSGA-C80 (100% Coverage),,,,,0.625,,0.375,,,
NSGA-C95 vs NSGA-C90 (Full Pareto Front),,,,,,0.5182038834951457,0.4817961165048544,,,
NSGA-C95 vs NSGA-C90 (100% Coverage),,,,,,0.5263157894736842,0.47368421052631576,,,
NSGA-C95 vs NSGA-C99 (Full Pareto Front),,,,,,,0.6080691642651297,0.3919308357348703,,
NSGA-C95 vs NSGA-C99 (100% Coverage),,,,,,,0.5294117647058824,0.47058823529411764,,
NSGA-C95 vs NSGA-C100 (Full Pareto Front),,,,,,,0.7642140468227425,,0.23578595317725753,
NSGA-C95 vs NSGA-C100 (100% Coverage),,,,,,,0.85,,0.15,
NSGA-C95 vs MOGA-WS (Full Pareto Front),,,,,,,0.9114173228346457,,,0.08858267716535433
NSGA-C95 vs MOGA-WS (100% Coverage),,,,,,,0.8,,,0.2
NSGA-C99 vs NSGA-NC (Full Pareto Front),0.7847769028871391,,,,,,,0.2152230971128609,,
NSGA-C99 vs NSGA-NC (100% Coverage),0.5,,,,,,,0.5,,
NSGA-C99 vs NSGA-C50 (Full Pareto Front),,0.7438370846730975,,,,,,0.25616291532690244,,
NSGA-C99 vs NSGA-C50 (100% Coverage),,0.5555555555555556,,,,,,0.4444444444444444,,
NSGA-C99 vs NSGA-C60 (Full Pareto Front),,,0.7235859124866596,,,,,0.27641408751334046,,
NSGA-C99 vs NSGA-C60 (100% Coverage),,,0.631578947368421,,,,,0.3684210526315789,,
NSGA-C99 vs NSGA-C70 (Full Pareto Front),,,,0.7180365296803652,,,,0.2819634703196347,,
NSGA-C99 vs NSGA-C70 (100% Coverage),,,,0.5263157894736842,,,,0.47368421052631576,,
NSGA-C99 vs NSGA-C80 (Full Pareto Front),,,,,0.6862244897959183,,,0.3137755102040816,,
NSGA-C99 vs NSGA-C80 (100% Coverage),,,,,0.6190476190476191,,,0.38095238095238093,,
NSGA-C99 vs NSGA-C90 (Full Pareto Front),,,,,,0.6219839142091153,,0.3780160857908847,,
NSGA-C99 vs NSGA-C90 (100% Coverage),,,,,,0.6111111111111112,,0.3888888888888889,,
NSGA-C99 vs NSGA-C95 (Full Pareto Front),,,,,,,0.6080691642651297,0.3919308357348703,,
NSGA-C99 vs NSGA-C95 (100% Coverage),,,,,,,0.5294117647058824,0.47058823529411764,,
NSGA-C99 vs NSGA-C100 (Full Pareto Front),,,,,,,,0.6979166666666666,0.3020833333333333,
NSGA-C99 vs NSGA-C100 (100% Coverage),,,,,,,,0.8181818181818182,0.18181818181818182,
NSGA-C99 vs MOGA-WS (Full Pareto Front),,,,,,,,0.8627450980392157,,0.13725490196078433
NSGA-C99 vs MOGA-WS (100% Coverage),,,,,,,,0.8333333333333334,,0.16666666666666666
NSGA-C100 vs NSGA-NC (Full Pareto Front),0.8915779283639884,,,,,,,,0.10842207163601161,
NSGA-C100 vs NSGA-NC (100% Coverage),0.6666666666666666,,,,,,,,0.3333333333333333,
NSGA-C100 vs NSGA-C50 (Full Pareto Front),,0.8607142857142858,,,,,,,0.1392857142857143,
NSGA-C100 vs NSGA-C50 (100% Coverage),,0.7,,,,,,,0.3,
NSGA-C100 vs NSGA-C60 (Full Pareto Front),,,0.850835322195704,,,,,,0.14916467780429593,
NSGA-C100 vs NSGA-C60 (100% Coverage),,,0.875,,,,,,0.125,
NSGA-C100 vs NSGA-C70 (Full Pareto Front),,,,0.847394540942928,,,,,0.15260545905707196,
NSGA-C100 vs NSGA-C70 (100% Coverage),,,,0.9166666666666666,,,,,0.08333333333333333,
NSGA-C100 vs NSGA-C80 (Full Pareto Front),,,,,0.8243831640058055,,,,0.17561683599419448,
NSGA-C100 vs NSGA-C80 (100% Coverage),,,,,0.8888888888888888,,,,0.1111111111111111,
NSGA-C100 vs NSGA-C90 (Full Pareto Front),,,,,,0.7704402515723271,,,0.22955974842767296,
NSGA-C100 vs NSGA-C90 (100% Coverage),,,,,,0.7368421052631579,,,0.2631578947368421,
NSGA-C100 vs NSGA-C95 (Full Pareto Front),,,,,,,0.7642140468227425,,0.23578595317725753,
NSGA-C100 vs NSGA-C95 (100% Coverage),,,,,,,0.85,,0.15,
NSGA-C100 vs NSGA-C99 (Full Pareto Front),,,,,,,,0.6979166666666666,0.3020833333333333,
NSGA-C100 vs NSGA-C99 (100% Coverage),,,,,,,,0.8181818181818182,0.18181818181818182,
NSGA-C100 vs MOGA-WS (Full Pareto Front),,,,,,,,,0.7216494845360825,0.27835051546391754
NSGA-C100 vs MOGA-WS (100% Coverage),,,,,,,,,0.5,0.5
MOGA-WS vs NSGA-NC (Full Pareto Front),0.9585858585858585,,,,,,,,,0.04141414141414142
MOGA-WS vs NSGA-NC (100% Coverage),0.7692307692307693,,,,,,,,,0.23076923076923078
MOGA-WS vs NSGA-C50 (Full Pareto Front),,0.9558080808080808,,,,,,,,0.04419191919191919
MOGA-WS vs NSGA-C50 (100% Coverage),,0.8,,,,,,,,0.2
MOGA-WS vs NSGA-C60 (Full Pareto Front),,,0.951948051948052,,,,,,,0.048051948051948054
MOGA-WS vs NSGA-C60 (100% Coverage),,,0.9230769230769231,,,,,,,0.07692307692307693
MOGA-WS vs NSGA-C70 (Full Pareto Front),,,,0.9487870619946092,,,,,,0.05121293800539083
MOGA-WS vs NSGA-C70 (100% Coverage),,,,0.8695652173913043,,,,,,0.13043478260869565
MOGA-WS vs NSGA-C80 (Full Pareto Front),,,,,0.9410828025477707,,,,,0.0589171974522293
MOGA-WS vs NSGA-C80 (100% Coverage),,,,,0.8333333333333334,,,,,0.16666666666666666
MOGA-WS vs NSGA-C90 (Full Pareto Front),,,,,,0.9280575539568345,,,,0.07194244604316546
MOGA-WS vs NSGA-C90 (100% Coverage),,,,,,0.9333333333333333,,,,0.06666666666666667
MOGA-WS vs NSGA-C95 (Full Pareto Front),,,,,,,0.9114173228346457,,,0.08858267716535433
MOGA-WS vs NSGA-C95 (100% Coverage),,,,,,,0.8,,,0.2
MOGA-WS vs NSGA-C99 (Full Pareto Front),,,,,,,,0.8627450980392157,,0.13725490196078433
MOGA-WS vs NSGA-C99 (100% Coverage),,,,,,,,0.8333333333333334,,0.16666666666666666
MOGA-WS vs NSGA-C100 (Full Pareto Front),,,,,,,,,0.7216494845360825,0.27835051546391754
MOGA-WS vs NSGA-C100 (100% Coverage),,,,,,,,,0.5,0.5
