,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,80,1.0,511,168,20,7,24,3
1,80,1.0,511,168,20,7,24,2
2,70,1.0,511,168,20,7,24,2
3,80,1.0,565,154,20,7,22,5
4,80,1.0,583,147,21,7,21,2
5,80,1.0,583,147,22,7,21,2
6,80,1.0,598,136,20,8,17,6
7,80,1.0,622,119,21,7,17,3
8,80,1.0,714,96,19,4,24,3
9,80,1.0,722,88,19,4,22,1
10,80,1.0,772,80,19,4,20,3
11,80,1.0,801,77,19,7,11,1
12,80,1.0,835,72,19,4,18,1
13,80,1.0,855,68,19,4,17,2
14,80,0.9997226074895977,675,114,20,6,19,3
15,80,0.9996301433194638,959,54,20,6,9,1
16,80,0.9995376791493297,583,126,21,7,18,2
17,80,0.9994452149791956,879,64,19,4,16,3
18,80,0.9993527508090615,565,147,20,7,21,6
19,80,0.9989828941285251,623,110,19,5,22,1
20,80,0.998705501618123,714,84,19,4,21,2
21,80,0.9980582524271845,843,64,20,4,16,3
22,80,0.997411003236246,773,72,19,4,18,1
23,80,0.9973185390661119,764,77,19,7,11,1
24,80,0.9971336107258437,772,72,19,4,18,1
25,80,0.9968562182154416,915,63,20,7,9,3
26,80,0.9967637540453075,602,110,20,11,10,6
27,80,0.9960240406842349,923,60,19,4,15,3
28,80,0.9957466481738326,587,120,19,5,24,3
29,80,0.9955617198335645,896,60,20,4,15,3
30,80,0.9952843273231623,756,72,19,4,18,1
31,80,0.9950993989828941,691,88,20,4,22,1
32,80,0.9938973647711512,743,72,19,4,18,1
33,80,0.9938049006010171,565,126,19,14,9,1
34,80,0.9935275080906149,989,48,20,6,8,2
35,80,0.9933425797503468,773,68,20,4,17,2
36,80,0.9930651872399445,602,105,20,5,21,2
37,80,0.9928802588996763,535,126,21,7,18,2
38,80,0.9923254738788719,625,100,20,5,20,3
39,80,0.9914932963476653,896,54,19,6,9,1
40,80,0.9914008321775312,675,88,19,4,22,1
41,80,0.991123439667129,531,126,21,7,18,2
42,80,0.9907535829865927,511,136,21,8,17,6
43,80,0.9907535829865927,665,92,19,4,23,1
44,80,0.9906611188164586,801,64,20,4,16,3
45,70,0.9906611188164586,801,64,20,4,16,3
46,80,0.9903837263060564,867,54,20,6,9,1
47,80,0.9901987979657882,511,133,20,7,19,1
48,80,0.9892741562644475,668,84,19,4,21,2
49,80,0.9871474803513638,864,60,22,4,15,3
50,80,0.9868700878409616,722,72,19,4,18,1
51,80,0.9844660194174757,973,48,19,6,8,2
52,80,0.9840036985668054,501,140,19,10,14,1
53,80,0.9840036985668054,714,72,19,4,18,1
54,80,0.983541377716135,513,126,21,7,18,2
55,80,0.9833564493758669,511,126,20,7,18,2
56,80,0.9816920943134535,806,63,19,7,9,2
57,80,0.9803051317614424,623,95,20,5,19,4
58,80,0.9800277392510403,645,84,19,4,21,2
59,80,0.9788257050392972,835,54,20,6,9,1
60,80,0.9773462783171522,943,48,19,6,8,2
