,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
0,0,1.0,0.009986130374479889,0.6299667969570882,0.33332929230049513,984,513,703.030303030303,129.7308475383951,216.0,1.0,59.0,47.524993424512964
1,1,1.0,0.009986130374479889,0.6589736477115118,0.3310721172161698,988,513,705.06,135.47503874311673,276.0,1.0,64.48,57.55502779505711
2,2,1.0,0.009986130374479889,0.6907391828289489,0.3276872620208432,988,513,703.7213114754098,132.50875834544436,276.0,1.0,68.40983606557377,57.04979609930851
3,3,1.0,0.009986130374479889,0.6750691646669456,0.32215308666790177,988,513,707.3809523809524,130.5569247457918,276.0,1.0,63.87301587301587,52.862417915326034
4,4,1.0,0.009986130374479889,0.705551105988683,0.31569614364539644,989,513,706.8732394366198,134.22336709247705,276.0,1.0,67.91549295774648,54.20852502245992
5,5,1.0,0.009986130374479889,0.7322319563194579,0.3108943318412968,989,513,704.367088607595,133.66837813488272,276.0,1.0,72.50632911392405,54.325437545932026
6,6,1.0,0.009986130374479889,0.7335043920480814,0.3088220555969527,989,513,704.8375,134.7864174269233,276.0,1.0,70.25,50.97517390289493
7,7,1.0,0.009986130374479889,0.7341812974301727,0.3043479525888824,992,513,705.9634146341464,141.0546208119176,276.0,1.0,66.51219512195122,46.169639936998365
8,8,1.0,0.009986130374479889,0.7261478646903843,0.302923501974356,992,513,701.6024096385543,143.8181388674376,276.0,1.0,64.86746987951807,46.256119195546646
9,9,1.0,0.009986130374479889,0.7342698018471331,0.300496563247181,992,513,693.3139534883721,139.88283009701638,276.0,1.0,66.46511627906976,46.6374496513941
10,10,1.0,0.009986130374479889,0.7313130409278232,0.3037526803463656,992,513,697.6236559139785,141.01363748252942,276.0,1.0,65.0,45.578885271677
11,11,1.0,0.009986130374479889,0.719496455540145,0.30592159012054587,992,513,694.0833333333334,140.44528184664114,276.0,1.0,63.65625,45.21919204217794
12,12,1.0,0.009986130374479889,0.7303940935008896,0.3012586734976167,988,513,680.5555555555555,131.51202491944494,276.0,1.0,64.93939393939394,44.85346167375198
13,13,1.0,0.009986130374479889,0.7384888841011001,0.29813807260015,988,513,678.3592233009708,131.21295775091636,276.0,1.0,66.39805825242719,45.05777115316171
14,14,1.0,0.009986130374479889,0.746449084313162,0.29367329527913366,988,513,680.7027027027027,132.53861149900254,276.0,1.0,66.56756756756756,43.99062330286921
15,15,1.0,0.009986130374479889,0.7462477637741461,0.2940788030154609,988,513,679.008695652174,131.88621462432258,276.0,1.0,67.04347826086956,44.47478909436848
16,16,1.0,0.009986130374479889,0.747502696871629,0.2973452621513972,993,513,676.5083333333333,133.51549155283004,264.0,1.0,67.75,44.46398788331289
17,17,1.0,0.009986130374479889,0.7529311899835536,0.2941594931818112,993,513,673.9590163934427,132.60121021729267,264.0,1.0,69.07377049180327,45.1980340450076
18,18,1.0,0.009986130374479889,0.7580900601017106,0.292496345925527,993,513,677.56,131.75174602503438,264.0,1.0,68.608,44.07780803636137
19,19,1.0,0.009986130374479889,0.7631476523777269,0.2894766539130343,993,513,677.4728682170543,135.8581565870828,264.0,1.0,69.3875968992248,44.27652984326167
20,20,1.0,0.009986130374479889,0.7552592725157712,0.2923722014108479,993,513,680.8467741935484,140.73893518031332,264.0,1.0,66.56451612903226,42.77759498963561
21,21,1.0,0.010818307905686546,0.7484811835413777,0.29498264428469956,993,513,681.016,139.94912577951897,264.0,1.0,65.256,42.128050573950006
22,22,1.0,0.010818307905686546,0.7498167098044783,0.29290197049954725,993,513,683.9448818897638,142.6601192916067,264.0,1.0,64.75590551181102,41.761172164612795
23,23,1.0,0.010818307905686546,0.7437547565702906,0.29618832964394487,993,513,674.776923076923,134.65236696190547,264.0,1.0,64.96923076923076,42.482087143711155
24,24,1.0,0.010818307905686546,0.7429767205809253,0.29560383875942187,993,513,673.8721804511279,133.45680344919205,264.0,1.0,64.97744360902256,42.54310936005286
25,25,1.0,0.010818307905686546,0.7408668349647606,0.29630786957173955,993,513,671.294964028777,132.39748307720905,264.0,1.0,65.70503597122303,44.090068098042245
26,26,1.0,0.010818307905686546,0.7403765753000928,0.2959294391671509,993,513,673.1007194244604,132.09670891708484,264.0,1.0,64.34532374100719,41.980449595782055
27,27,1.0,0.010818307905686546,0.744063084005652,0.2940960759546915,993,513,672.3028169014085,131.57593549171307,264.0,1.0,64.6830985915493,41.99128070896224
28,28,1.0,0.010818307905686546,0.7480030307700211,0.2929977550088213,993,513,673.2291666666666,133.83528749295414,264.0,1.0,66.10416666666667,44.88411165458195
29,29,1.0,0.010818307905686546,0.7478302157913809,0.2916105757388455,993,500,671.777027027027,133.61645897159565,264.0,1.0,66.12162162162163,44.67431735758319
30,30,1.0,0.010818307905686546,0.7524347387282853,0.2897493813802654,993,500,675.5294117647059,136.72826772487994,252.0,1.0,65.37254901960785,41.47905025319554
