,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,37,1.0,0.006564956079519187,0.6215755894590846,0.3479654003151865,983.0,503.0,730.68,146.88300650517746,252.0,1.0,71.5,66.67000824958701,0,50,37,0,50,37,0,50,37
1,1,50,29,1.0,0.7655108645399907,0.9228793342579751,0.06694819288749809,975.0,503.0,764.7,139.32928622511494,252.0,28.0,108.86,61.72584871834489,1,50,29,1,50,29,1,50,29
2,2,50,20,1.0,0.9052242256125751,0.9710050855293574,0.02944225334907899,974.0,503.0,762.44,129.91338037323175,252.0,42.0,120.4,54.0388748957637,2,50,20,2,50,20,2,50,20
3,3,50,18,1.0,0.9064262598243181,0.9717910309754971,0.026987703725172642,974.0,503.0,737.98,126.91989442163903,286.0,42.0,108.9,53.95081092995729,3,50,18,3,50,18,3,50,18
4,4,50,15,1.0,0.9064262598243181,0.9718354137771614,0.027007864503601643,974.0,503.0,738.94,135.87205893781103,308.0,42.0,109.94,59.9267586308487,4,50,15,4,50,15,4,50,15
5,5,50,18,1.0,0.9131761442441054,0.9735367545076282,0.02444270706049587,974.0,503.0,740.8,135.86184158916734,286.0,42.0,102.92,54.12719833872801,5,50,18,5,50,18,5,50,18
6,6,50,17,1.0,0.9131761442441054,0.9722662968099862,0.025267163281907416,989.0,503.0,746.24,144.1162808290583,286.0,42.0,97.46,50.07083382569139,6,50,17,6,50,17,6,50,17
7,7,50,18,1.0,0.9043920480813684,0.9692815533980581,0.02789806465647065,989.0,503.0,730.36,130.89992513366843,252.0,42.0,90.48,40.28758617738223,7,50,18,7,50,18,7,50,18
8,8,50,24,1.0,0.9043920480813684,0.966333795654184,0.028931353250367314,989.0,503.0,741.68,143.69640774911528,252.0,42.0,85.58,38.799530924999594,8,50,24,8,50,24,8,50,24
9,9,50,21,1.0,0.9043920480813684,0.965631067961165,0.0314429423905261,989.0,503.0,741.76,141.44929268115837,252.0,39.0,87.66,45.3945415220817,9,50,21,9,50,21,9,50,21
10,10,50,19,1.0,0.9017105871474803,0.963959315765141,0.03198404098164822,989.0,503.0,735.66,139.67284775503074,252.0,39.0,87.08,44.73962002520808,10,50,19,10,50,19,10,50,19
11,11,50,24,1.0,0.9017105871474803,0.9622209893666205,0.03172888073090163,989.0,503.0,733.52,131.4351916345086,216.0,39.0,83.28,33.997082227744194,11,50,24,11,50,24,11,50,24
12,12,50,18,1.0,0.9047619047619048,0.963221451687471,0.031643625164797004,989.0,503.0,737.96,133.76680604694124,216.0,39.0,84.26,38.45715018042809,12,50,18,12,50,18,12,50,18
13,13,50,19,1.0,0.9047619047619048,0.9637965788257048,0.03251119225749266,989.0,503.0,738.1,140.37681432487346,216.0,39.0,84.38,38.36086026146964,13,50,19,13,50,19,13,50,19
14,14,50,10,1.0,0.9047619047619048,0.964208969024503,0.03242702411002476,989.0,503.0,731.3,143.33446898774906,216.0,39.0,86.3,40.51826748517266,14,50,10,14,50,10,14,50,10
15,15,50,14,1.0,0.9047619047619048,0.966531668978271,0.03272688264452343,989.0,503.0,739.56,144.8152146702825,216.0,39.0,87.04,41.214541123249205,15,50,14,15,50,14,15,50,14
16,16,50,19,1.0,0.9047619047619048,0.9683532131299124,0.031321351861410315,993.0,503.0,740.78,151.16445217047558,216.0,39.0,87.32,42.9103437413405,16,50,19,16,50,19,16,50,19
17,17,50,16,1.0,0.9047619047619048,0.9673767914932964,0.031401347805351275,993.0,503.0,741.92,151.45360213609976,216.0,39.0,86.34,42.65096012987281,17,50,16,17,50,16,17,50,16
18,18,50,15,1.0,0.9047619047619048,0.9677115117891817,0.03061841502336536,993.0,503.0,738.32,155.3747006433158,216.0,39.0,86.92,42.77561922403929,18,50,15,18,50,15,18,50,15
19,19,50,18,1.0,0.9047619047619048,0.9665187239944523,0.031169112189454354,993.0,503.0,719.88,154.2889030358308,216.0,39.0,89.0,42.44667242552707,19,50,18,19,50,18,19,50,18
20,20,50,11,1.0,0.9047619047619048,0.9652981969486825,0.032220043284560275,993.0,503.0,721.86,157.25393603976977,216.0,39.0,88.46,42.57098072631168,20,50,11,20,50,11,20,50,11
21,21,50,15,1.0,0.9030975496994914,0.9630568654646325,0.032961193940747174,993.0,503.0,724.34,150.45990961050055,216.0,39.0,87.14,42.41933992885792,21,50,15,21,50,15,21,50,15
22,22,50,7,1.0,0.9030975496994914,0.9647101248266295,0.03272072015901233,993.0,503.0,727.44,155.09457243888323,216.0,39.0,87.82,43.494684732734875,22,50,7,22,50,7,22,50,7
23,23,50,8,1.0,0.9030975496994914,0.9651687471104947,0.03277351391044771,993.0,503.0,728.02,151.4659684549635,216.0,39.0,87.56,43.425872472524944,23,50,8,23,50,8,23,50,8
24,24,50,11,1.0,0.9028201571890893,0.9628478964401296,0.03466673986451347,993.0,503.0,725.5,153.93508372037869,216.0,39.0,87.72,43.55182659774444,24,50,11,24,50,11,24,50,11
25,25,50,7,1.0,0.9028201571890893,0.9632824780397595,0.03520552483979719,993.0,503.0,727.62,155.70791758931207,216.0,39.0,87.88,43.62047225787452,25,50,7,25,50,7,25,50,7
26,26,50,8,1.0,0.9028201571890893,0.9628552935737402,0.03525495743495647,993.0,503.0,713.5,155.854066356961,216.0,39.0,90.0,43.25320797351336,26,50,8,26,50,8,26,50,8
27,27,50,10,1.0,0.9028201571890893,0.9650171058714748,0.03511037609559584,993.0,503.0,710.14,156.79706757462017,216.0,39.0,92.62,44.53937134715756,27,50,10,27,50,10,27,50,10
28,28,50,8,1.0,0.9028201571890893,0.96191030975497,0.03439728477920181,993.0,503.0,723.8,162.42893830841842,216.0,39.0,87.36,42.33663189248762,28,50,8,28,50,8,28,50,8
29,29,50,13,1.0,0.9028201571890893,0.960244105409154,0.034292471184733116,993.0,503.0,723.12,162.66685464470012,216.0,39.0,86.68,42.87397345709865,29,50,13,29,50,13,29,50,13
30,30,50,13,1.0,0.9028201571890893,0.9635006934812761,0.0329433413774924,993.0,503.0,728.18,163.07405556985452,216.0,39.0,86.68,42.1228868906204,30,50,13,30,50,13,30,50,13
31,31,50,8,1.0,0.9028201571890893,0.964116504854369,0.03322054186968151,993.0,503.0,717.66,161.0131187201838,216.0,39.0,88.44,42.23986742403437,31,50,8,31,50,8,31,50,8
32,32,50,11,1.0,0.9028201571890893,0.9625760517799352,0.0337979388192665,993.0,503.0,724.52,162.90454137316127,216.0,39.0,86.32,41.81217047702739,32,50,11,32,50,11,32,50,11
33,33,50,11,1.0,0.9028201571890893,0.9635432269995375,0.0325678446198797,993.0,503.0,725.64,167.2777044318818,216.0,39.0,87.64,43.84826564415062,33,50,11,33,50,11,33,50,11
