,generation,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
0,0,2,2,2,2,2,2,2,2,2,2
1,1,4,3,3,3,3,3,3,4,4,3
2,2,3,4,6,6,7,3,5,5,4,3
3,3,3,5,7,9,9,4,6,6,9,6
4,4,3,4,10,9,8,8,6,8,11,7
5,5,5,5,7,10,9,9,6,12,9,7
6,6,6,6,10,11,9,10,6,11,6,5
7,7,8,8,10,14,10,7,7,8,8,6
8,8,8,7,10,15,11,6,9,6,9,6
9,9,10,7,10,14,12,8,8,5,6,7
10,10,10,10,11,14,12,9,8,6,7,8
11,11,8,10,13,12,12,10,6,6,7,8
12,12,9,10,13,10,13,11,7,5,7,8
13,13,11,8,14,12,15,12,8,6,6,9
14,14,11,8,11,13,16,11,9,7,6,9
15,15,9,8,11,14,16,12,10,7,7,9
16,16,9,8,12,16,18,12,14,7,8,9
17,17,10,8,14,13,18,12,12,8,8,9
18,18,7,8,12,15,16,13,11,11,8,10
19,19,8,8,12,15,17,12,12,11,8,10
20,20,9,9,14,16,17,14,13,8,4,10
21,21,9,10,14,16,18,14,12,7,4,10
22,22,10,10,15,17,20,14,11,8,4,10
23,23,10,10,16,17,21,14,11,9,4,10
24,24,11,10,16,20,22,16,12,9,4,10
25,25,12,12,16,20,23,16,13,10,4,11
26,26,12,12,17,20,23,16,12,8,4,11
27,27,9,12,18,22,23,17,13,8,4,11
28,28,9,12,12,24,23,15,14,10,4,11
29,29,8,12,12,24,22,15,11,10,4,10
30,30,8,12,13,25,24,17,11,9,5,10
31,31,7,11,13,23,24,18,11,10,5,10
32,32,7,10,13,24,24,15,12,11,5,10
33,33,7,10,13,22,25,15,12,11,6,10
34,34,8,9,15,22,18,15,12,11,6,10
35,35,9,10,17,23,19,15,12,12,6,10
36,36,10,10,17,20,15,15,13,13,6,10
37,37,11,10,18,16,17,15,13,13,6,10
38,38,10,11,19,16,15,15,11,14,6,10
39,39,10,12,21,17,14,15,11,14,6,10
40,40,10,12,22,17,14,15,11,14,6,10
41,41,10,13,24,17,13,15,11,15,4,10
42,42,10,14,25,17,12,16,11,15,4,10
43,43,10,14,13,17,12,18,12,14,4,10
44,44,11,14,13,18,12,18,12,14,4,10
45,45,12,15,14,19,12,18,12,14,4,10
46,46,12,15,14,19,12,18,12,14,4,10
47,47,12,15,14,18,13,14,12,14,4,11
48,48,12,15,14,18,13,13,12,13,4,11
49,49,12,15,14,19,14,14,13,13,4,11
50,50,12,15,13,19,14,15,13,13,4,11
51,51,10,15,14,19,10,11,13,14,4,11
52,52,10,15,15,19,9,11,13,14,4,11
53,53,10,16,16,21,9,12,13,14,4,11
54,54,11,16,16,20,9,12,13,14,4,12
55,55,11,16,16,20,9,12,14,15,4,12
56,56,11,16,15,20,9,12,14,15,4,12
57,57,11,16,15,17,9,12,14,15,4,12
58,58,12,17,14,17,10,12,14,16,4,11
59,59,12,17,14,17,10,13,15,17,4,11
60,60,12,17,14,17,10,13,14,17,4,11
61,61,12,17,14,17,11,13,14,17,4,11
62,62,13,17,14,18,11,13,14,19,5,11
63,63,13,17,14,19,11,14,14,19,5,11
64,64,13,17,13,19,11,14,14,19,5,11
65,65,13,17,13,19,11,14,14,17,5,11
66,66,13,17,13,19,11,15,15,17,5,11
67,67,13,17,13,20,11,15,13,16,5,11
68,68,13,17,14,20,11,15,15,16,5,11
69,69,13,17,14,19,12,15,15,15,5,13
70,70,13,18,15,19,12,16,15,15,6,13
71,71,13,19,14,20,12,16,15,16,6,11
72,72,13,19,14,20,12,16,15,16,6,11
73,73,13,20,14,20,12,16,15,17,6,12
74,74,13,22,14,21,13,16,15,18,6,12
75,75,10,23,14,18,13,16,16,19,6,12
76,76,10,23,13,18,13,16,16,19,6,12
77,77,11,23,13,18,14,16,16,19,6,12
78,78,11,24,13,18,14,17,16,19,6,12
79,79,11,24,13,19,15,17,16,19,6,12
80,80,11,24,12,19,15,17,18,14,7,12
81,81,11,26,12,19,15,17,18,14,7,12
82,82,11,27,12,20,15,17,18,14,7,12
83,83,11,27,12,21,15,17,18,14,7,12
84,84,11,27,12,22,16,17,18,14,7,12
85,85,11,25,12,22,17,17,18,15,7,12
86,86,10,25,12,22,17,17,18,15,7,12
87,87,10,25,12,23,17,17,18,15,7,12
88,88,10,25,12,23,17,17,19,15,7,12
89,89,10,22,12,24,17,17,19,15,7,12
90,90,10,23,12,24,17,17,19,15,7,13
91,91,11,23,13,24,16,17,19,15,7,11
92,92,11,23,13,25,16,17,19,15,7,11
93,93,11,23,13,24,16,17,19,15,7,11
94,94,11,23,13,24,16,17,19,15,7,11
95,95,11,24,12,24,16,17,19,15,7,11
96,96,11,24,12,24,16,17,18,15,7,11
97,97,11,24,12,22,16,17,19,11,7,11
98,98,11,24,12,23,16,14,19,12,7,11
99,99,11,24,14,23,16,14,17,12,7,11
100,100,11,24,14,23,16,15,17,12,7,11
