,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,0,1.0,500.0,180,20.0,12,15,2.0
1,0,0.9999075358298659,815.0,72,19.0,4,18,1.0
2,0,0.9996301433194638,501.0,176,21.0,8,22,1.0
3,50,0.9996301433194638,501.0,176,21.0,8,22,1.0
4,60,0.9996301433194638,501.0,176,21.0,8,22,1.0
5,99,0.9996301433194638,501.0,176,21.0,8,22,1.0
6,0,0.9996301433194638,690.0,98,19.0,7,14,5.0
7,0,0.9995376791493297,801.0,72,19.0,4,18,1.0
8,99,0.9995376791493297,801.0,72,19.0,4,18,1.0
9,0,0.9994452149791956,548.0,150,19.0,10,15,1.0
10,0,0.9971336107258437,500.0,153,19.0,9,17,6.0
11,0,0.9968562182154416,604.0,110,19.0,5,22,1.0
12,99,0.9968562182154416,604.0,110,19.0,5,22,1.0
13,0,0.9963938973647711,891.0,60,19.0,4,15,0.0
14,0,0.996208969024503,501.0,144,21.0,8,18,5.0
15,0,0.99500693481276,749.0,72,19.0,4,18,1.0
16,0,0.9943596856218215,563.0,120,19.0,5,24,4.0
17,0,0.9936199722607489,690.0,84,19.0,12,7,1.0
18,0,0.9917706888580675,500.0,150,19.0,10,15,0.0
19,0,0.9914008321775312,670.0,88,19.0,4,22,1.0
20,0,0.9905686546463246,735.0,72,19.0,4,18,1.0
21,0,0.9891816920943135,647.0,96,19.0,8,12,1.0
22,0,0.9857605177993527,843.0,60,19.0,4,15,0.0
23,0,0.9855755894590846,719.0,72,19.0,4,18,1.0
24,0,0.9838187702265372,500.0,140,19.0,10,14,1.0
25,0,0.9821544151641239,548.0,115,19.0,5,23,2.0
26,0,0.9815071659731854,961.0,51,19.0,3,17,1.0
27,50,0.9815071659731854,961.0,51,19.0,3,17,1.0
28,0,0.9812297734627832,601.0,96,19.0,12,8,0.0
29,0,0.9803051317614424,527.0,120,19.0,5,24,1.0
30,0,0.9730004623208507,563.0,105,19.0,5,21,2.0
31,0,0.9712436430883032,500.0,120,20.0,5,24,0.0
32,0,0.9668053629218678,910.0,51,18.0,3,17,1.0
33,0,0.9665279704114655,610.0,88,19.0,4,22,1.0
34,80,0.9665279704114655,610.0,88,19.0,4,22,1.0
35,0,0.9637540453074434,588.0,91,20.0,7,13,6.0
36,0,0.9619047619047619,579.0,96,19.0,12,8,0.0
37,0,0.9619047619047619,618.0,84,19.0,4,21,2.0
38,0,0.9581137309292649,665.0,76,19.0,4,19,3.0
39,60,0.9581137309292649,665.0,76,19.0,4,19,3.0
40,0,0.9567267683772538,625.0,80,19.0,4,20,3.0
41,60,0.9567267683772538,625.0,80,19.0,4,20,3.0
42,80,0.9567267683772538,625.0,80,19.0,4,20,3.0
43,95,0.9567267683772538,625.0,80,19.0,4,20,3.0
44,99,0.9567267683772538,625.0,80,19.0,4,20,3.0
45,100,0.9567267683772538,625.0,80,19.0,4,20,3.0
46,0,0.9563569116967175,575.0,96,19.0,4,24,3.0
47,0,0.9550624133148405,500.0,115,19.0,5,23,1.0
48,0,0.9474803513638466,563.0,96,19.0,4,24,3.0
49,0,0.9450762829403606,764.0,60,19.0,10,6,1.0
50,0,0.9418400369856681,601.0,85,20.0,5,17,2.0
51,0,0.9416551086453999,727.0,60,21.0,6,10,0.0
