,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,50,1.0,501,198,19,9,22,2
1,50,1.0,533,161,20,7,23,3
2,50,1.0,650,110,19,5,22,1
3,50,1.0,662,108,19,9,12,2
4,50,1.0,961,63,18,7,9,2
5,50,0.9999075358298659,581,150,19,10,15,1
6,50,0.9997226074895977,565,150,19,10,15,1
7,50,0.9996301433194638,501,176,21,8,22,1
8,50,0.9994452149791956,650,105,19,5,21,2
9,50,0.9991678224687933,594,117,19,9,13,1
10,50,0.9990753582986592,535,150,19,10,15,1
11,50,0.9979657882570504,802,68,20,4,17,2
12,50,0.9978733240869163,743,80,20,4,20,3
13,50,0.9976883957466481,565,140,19,10,14,1
14,50,0.9964863615349052,533,150,20,10,15,1
15,50,0.996301433194637,501,168,21,12,14,3
16,50,0.996301433194637,513,150,19,10,15,1
17,50,0.996208969024503,909,63,21,7,9,2
18,50,0.9959315765141008,623,105,20,5,21,2
19,50,0.9948220064724919,501,154,21,7,22,5
20,50,0.9947295423023579,581,115,19,5,23,1
21,50,0.9941747572815534,685,102,21,6,17,5
22,50,0.9939898289412853,502,144,19,9,16,7
23,50,0.9938973647711512,909,54,21,6,9,1
24,50,0.9936199722607489,565,117,19,9,13,1
25,50,0.9930651872399445,684,92,18,4,23,1
26,50,0.9912159038372631,669,88,19,4,22,1
27,50,0.991123439667129,581,110,19,5,22,1
28,50,0.988626907073509,573,110,19,5,22,2
29,50,0.988626907073509,573,110,19,5,22,1
30,50,0.9864077669902913,857,63,21,7,9,2
31,50,0.9851132686084142,602,100,20,5,20,4
32,50,0.9846509477577439,662,90,21,6,15,2
33,50,0.9842810910772076,573,108,19,9,12,2
34,50,0.9840961627369395,653,96,19,6,16,1
35,50,0.982339343504392,638,92,19,4,23,1
36,50,0.9815071659731854,961,51,19,3,17,1
37,50,0.9814147018030513,961,48,19,6,8,2
38,50,0.9808599167822469,665,88,20,4,22,2
39,50,0.9805825242718447,650,90,21,6,15,2
40,50,0.9780859916782247,552,110,19,5,22,1
41,50,0.9780859916782247,929,48,21,6,8,2
42,50,0.9779010633379566,684,78,19,6,13,3
43,50,0.9717984281091078,724,70,18,7,10,1
44,50,0.9714285714285714,993,42,21,14,3,3
45,50,0.9707813222376329,535,110,19,5,22,2
46,50,0.9704114655570967,511,119,20,7,17,3
47,50,0.9673601479426722,768,63,18,7,9,2
48,50,0.9669902912621359,533,112,20,7,16,3
49,50,0.9654184003698567,589,102,18,6,17,5
50,50,0.9638465094775774,984,45,17,3,15,2
51,50,0.9618122977346278,501,119,19,7,17,2
52,50,0.9616273693943597,650,78,20,6,13,3
53,50,0.9610725843735552,719,68,18,4,17,2
54,50,0.9598705501618123,869,52,19,4,13,2
55,50,0.9576514100785946,501,115,19,5,23,1
56,50,0.9575589459084605,578,102,20,6,17,5
57,50,0.9567267683772538,867,49,19,7,7,5
58,50,0.9541377716134998,684,70,18,10,7,7
59,50,0.9509939898289412,772,60,19,5,12,1
60,50,0.9479426722145169,929,45,18,3,15,2
61,50,0.9473878871937125,525,110,18,5,22,2
62,50,0.9459084604715673,581,92,19,4,23,1
63,50,0.9423948220064725,684,68,19,4,17,2
64,50,0.9399907535829866,601,84,18,6,14,2
65,50,0.9398982894128525,573,92,19,4,23,3
66,50,0.9396208969024503,547,102,18,6,17,5
67,50,0.9389736477115118,573,90,19,5,18,1
68,50,0.9389736477115118,728,63,19,7,9,2
69,50,0.9371243643088303,535,102,19,6,17,5
70,50,0.9361072584373555,909,42,21,14,3,3
71,50,0.9359223300970874,743,60,18,5,12,1
72,50,0.9340730466944059,904,42,21,14,3,3
73,50,0.9331484049930652,565,90,19,6,15,1
74,50,0.9311141932501156,653,70,18,14,5,1
75,50,0.9308368007397133,719,63,18,7,9,2
76,50,0.9298196948682386,501,110,19,5,22,1
77,50,0.9284327323162275,650,70,18,14,5,1
78,50,0.9271382339343505,533,100,19,5,20,3
79,50,0.9222376329172446,802,48,19,6,8,2
80,50,0.9201109570041609,525,102,18,6,17,5
81,50,0.9199260286638927,638,70,18,14,5,1
82,50,0.9194637078132224,665,68,18,4,17,2
83,50,0.9193712436430883,511,105,20,7,15,5
84,50,0.9183541377716135,581,85,19,5,17,1
85,50,0.9171521035598705,892,42,18,14,3,3
86,50,0.9140083217753121,859,42,19,14,3,3
87,50,0.9134535367545076,798,52,19,4,13,1
88,50,0.9121590383726306,552,88,19,4,22,1
89,50,0.9111419325011558,501,108,18,6,18,4
