,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
0,0,1.0,0.009986130374479889,0.6299667969570882,0.33332929230049513,984,513,703.030303030303,129.7308475383951,216.0,1.0,59.0,47.524993424512964
1,1,1.0,0.009986130374479889,0.64949980818603,0.32890937681445953,988,513,706.9787234042553,134.85217177753378,276.0,1.0,61.53191489361702,55.36748813072201
2,2,1.0,0.009986130374479889,0.6927509657804211,0.31524903632492796,988,513,698.0338983050848,129.76237780328276,276.0,1.0,66.32203389830508,52.752656634513045
3,3,1.0,0.009986130374479889,0.7246879334257975,0.31211688867360904,988,513,694.469696969697,126.8280749915436,276.0,1.0,74.92424242424242,59.33200215892331
4,4,1.0,0.009986130374479889,0.7371113411862763,0.3062944898978558,989,513,693.3661971830986,130.59405362054693,276.0,1.0,79.71830985915493,65.2658701222691
5,5,1.0,0.009986130374479889,0.7312489267551682,0.30529696878301926,989,513,696.0571428571428,129.44988238576906,216.0,1.0,71.37142857142857,49.34679744643476
6,6,1.0,0.009986130374479889,0.7205815582282762,0.30747641537556936,989,513,696.3582089552239,132.100822548369,207.0,1.0,66.41791044776119,45.4022924443687
7,7,1.0,0.009986130374479889,0.7261211280628755,0.3032990028226643,989,513,695.1,131.38285132843023,207.0,1.0,66.52857142857142,44.76337835114625
8,8,1.0,0.009986130374479889,0.7399315765141008,0.2983471087354327,989,513,688.0533333333333,130.5263661190805,207.0,1.0,70.22666666666667,47.25965462162154
9,9,1.0,0.009986130374479889,0.7403890607774103,0.29195752395300406,989,513,679.3589743589744,133.23867602368614,207.0,1.0,69.48717948717949,45.217150978259816
10,10,1.0,0.009986130374479889,0.7373691224062441,0.29906663040345216,989,513,670.1529411764706,132.51401595971006,207.0,1.0,72.02352941176471,49.23606316478183
11,11,1.0,0.009986130374479889,0.7211260081162993,0.3031116027212331,989,513,667.0,131.52117785634033,207.0,1.0,68.34444444444445,45.524696621689635
12,12,1.0,0.009986130374479889,0.7218506904661399,0.3004739400885274,989,513,664.9891304347826,130.8789806380762,207.0,1.0,68.16304347826087,45.10653498471991
13,13,1.0,0.009986130374479889,0.7257355328001889,0.2986679970450571,989,513,663.8510638297872,130.1083880203913,180.0,1.0,68.08510638297872,43.036283660173105
14,14,1.0,0.009986130374479889,0.7272297734627832,0.29600225187751783,989,513,659.55,127.67781223600967,180.0,1.0,68.34,42.94822346721572
15,15,1.0,0.009986130374479889,0.7251589514013814,0.29850781638036045,989,513,661.940594059406,126.32456782290438,180.0,1.0,67.9009900990099,43.06332661337138
16,16,1.0,0.009986130374479889,0.7266713805263205,0.29773905522318034,989,513,662.0098039215686,127.81542192219722,180.0,1.0,68.05882352941177,42.87925103006397
17,17,1.0,0.009986130374479889,0.7286581687691258,0.2979321097750613,989,513,663.7714285714286,128.35814207662338,180.0,1.0,68.24761904761905,43.2325511605952
18,18,1.0,0.009986130374479889,0.727496214482943,0.3018626994653035,989,513,662.5779816513761,127.17881066071399,180.0,1.0,67.95412844036697,42.939747907862206
19,19,1.0,0.009986130374479889,0.7343798968165323,0.2987178741628248,989,513,664.5840707964602,129.34896913166148,180.0,1.0,68.20353982300885,42.366630924929616
20,20,1.0,0.009986130374479889,0.7195034587648688,0.3001265480175062,989,513,656.7383177570093,128.25044311583295,180.0,1.0,66.99065420560747,43.20104281740629
21,21,1.0,0.009986130374479889,0.716892690193661,0.29995041876676637,989,513,658.4074074074074,128.82285431973943,180.0,1.0,66.5925925925926,43.1972301459372
22,22,1.0,0.009986130374479889,0.714187257067516,0.29915934159487845,989,513,661.2037037037037,128.91471927583547,180.0,1.0,65.57407407407408,42.792741917489835
23,23,1.0,0.009986130374479889,0.7065296515781953,0.30353766141538746,989,513,660.6272727272727,128.80950012622895,180.0,1.0,64.8,42.85644909879723
24,24,1.0,0.009986130374479889,0.6966683743382772,0.3070370845675477,989,513,660.5405405405405,128.53819975427072,180.0,1.0,63.62162162162162,43.034036012536106
25,25,1.0,0.009986130374479889,0.6955548855253372,0.3085318578934906,989,513,661.7739130434783,127.80152244031584,180.0,1.0,63.426086956521736,43.21327380330481
26,26,1.0,0.009986130374479889,0.6956393093328509,0.3085620913785584,989,513,661.7739130434783,127.80152244031584,180.0,1.0,63.426086956521736,43.21327380330481
27,27,1.0,0.009986130374479889,0.6958616356674608,0.30820790314082186,989,513,662.0769230769231,127.0730955711599,180.0,1.0,63.53846153846154,43.347739562737736
28,28,1.0,0.009986130374479889,0.6967114086266778,0.3092546739705109,989,513,661.9752066115702,125.54590546953449,180.0,1.0,63.45454545454545,43.11960111132755
29,29,1.0,0.009986130374479889,0.6959897394598302,0.3088747063682207,989,500,659.9274193548387,124.98840098296321,180.0,1.0,63.38709677419355,42.85325872524365
30,30,1.0,0.009986130374479889,0.6982923482230001,0.30760927888776046,989,500,660.2936507936508,127.11928681110932,198.0,1.0,64.11904761904762,44.33754294371436
31,31,1.0,0.009986130374479889,0.6960327092001849,0.31152345029732914,989,500,657.6640625,127.76937129701258,198.0,1.0,64.5703125,45.4641302920078
32,32,1.0,0.009986130374479889,0.6951291452081698,0.3145596531833292,989,500,659.2868217054264,127.17293797463661,198.0,1.0,64.15503875968992,45.52513893656776
33,33,1.0,0.009986130374479889,0.6996283787360642,0.3142336985143952,989,500,657.2061068702291,127.30965988832425,198.0,1.0,65.86259541984732,47.30340097689814
34,34,1.0,0.009986130374479889,0.6972849157315176,0.3141878027656967,989,500,658.780303030303,128.10595056787892,198.0,1.0,65.48484848484848,47.3219418546291
35,35,1.0,0.009986130374479889,0.6989331859468366,0.31357212241392846,989,500,659.6315789473684,127.99683197335511,198.0,1.0,65.41353383458646,47.14952485694412
36,36,1.0,0.009986130374479889,0.6944140167582872,0.31637328940420284,989,500,659.7591240875912,127.54333320987794,198.0,1.0,65.14598540145985,47.5809743468322
37,37,1.0,0.009986130374479889,0.6973694613627075,0.3168278484986673,989,500,661.9202898550725,127.31769916089202,198.0,1.0,64.8623188405797,47.55222899270832
38,38,1.0,0.009986130374479889,0.6964191446736375,0.3142105497160266,989,500,664.049645390071,129.440131017125,198.0,1.0,64.40425531914893,47.33452058388016
39,39,1.0,0.009986130374479889,0.700576147432525,0.31103742854123023,989,500,663.1517241379311,129.75480782328142,198.0,1.0,64.8344827586207,47.11039248891661
40,40,1.0,0.009986130374479889,0.700576147432525,0.31103742854123023,989,500,663.1517241379311,129.75480782328142,198.0,1.0,64.8344827586207,47.11039248891661
41,41,1.0,0.009986130374479889,0.6944816869574151,0.30970736758821105,989,500,666.5347222222222,130.1606813970351,180.0,1.0,61.90972222222222,43.48601787898326
42,42,1.0,0.009986130374479889,0.6904777629960906,0.3081781440442971,989,500,665.8979591836735,129.2700123450793,180.0,1.0,61.29931972789116,43.25322301174704
43,43,1.0,0.009986130374479889,0.6904777629960906,0.3081781440442971,989,500,665.8979591836735,129.2700123450793,180.0,1.0,61.29931972789116,43.25322301174704
44,44,1.0,0.009986130374479889,0.6923348452474667,0.30795795828858075,989,500,667.581081081081,130.44664317056828,180.0,1.0,61.29054054054054,43.10598446044896
45,45,1.0,0.009986130374479889,0.6859604486043115,0.3109103438552624,989,500,668.9403973509934,129.50805543996503,180.0,1.0,60.45695364238411,43.13494099518204
