,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784558,0.34144549941169766,993.0,513.0,760.64,144.8117067090917,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,26,1.0,0.6930189551548774,0.8982154415164123,0.10082599907345412,988.0,513.0,734.96,135.58716163413112,260.0,27.0,100.42,55.34874524323022,1,50,26,1,50,26,1,50,26
2,2,50,20,1.0,0.6474341192787795,0.9026925566343041,0.10703082787885279,988.0,513.0,730.14,138.26973783152985,216.0,27.0,91.12,45.93283792669467,2,50,20,2,50,20,2,50,20
3,3,50,24,1.0,0.6295885344429034,0.8879704114655571,0.1114640886286052,988.0,513.0,706.2,137.34919002309408,234.0,27.0,93.58,52.56618304575671,3,50,24,3,50,24,3,50,24
4,4,50,27,1.0,0.6251502542764679,0.8769116967175219,0.1244697337963442,988.0,513.0,687.16,138.7810304040145,234.0,27.0,95.76,55.04200577740604,4,50,27,4,50,27,4,50,27
5,5,50,22,1.0,0.6251502542764679,0.8641109570041609,0.11983667906890078,988.0,513.0,691.04,142.14696057250046,234.0,27.0,83.72,47.67265044026816,5,50,22,5,50,22,5,50,22
6,6,50,25,1.0,0.6044382801664355,0.8624096162736938,0.12860022085129205,988.0,513.0,689.84,137.7792959772984,234.0,27.0,86.18,51.4729793192506,6,50,25,6,50,25,6,50,25
7,7,50,19,1.0,0.6044382801664355,0.86488950531669,0.13077396920742076,988.0,513.0,691.0,139.40846459236255,234.0,27.0,86.06,52.339816583553294,7,50,19,7,50,19,7,50,19
8,8,50,21,1.0,0.6044382801664355,0.8648691631992602,0.13093440409293805,988.0,513.0,702.9,148.5818629577648,273.0,27.0,87.88,59.32946654066595,8,50,21,8,50,21,8,50,21
9,9,50,26,1.0,0.6044382801664355,0.8566010171058713,0.13994692335860415,988.0,513.0,698.82,151.14029112053476,273.0,27.0,88.16,60.28643628545313,9,50,26,9,50,26,9,50,26
10,10,50,18,1.0,0.6044382801664355,0.8681978733240869,0.1339186627330175,988.0,513.0,712.86,158.40669304041415,273.0,27.0,92.72,67.0313478903714,10,50,18,10,50,18,10,50,18
