,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,6
3,3,9
4,4,9
5,5,10
6,6,11
7,7,14
8,8,15
9,9,14
10,10,14
11,11,12
12,12,10
13,13,12
14,14,13
15,15,14
16,16,16
17,17,13
18,18,15
19,19,15
20,20,16
21,21,16
22,22,17
23,23,17
24,24,20
25,25,20
26,26,20
27,27,22
28,28,24
29,29,24
30,30,25
31,31,23
32,32,24
33,33,22
34,34,22
35,35,23
36,36,20
37,37,16
38,38,16
39,39,17
40,40,17
41,41,17
42,42,17
43,43,17
44,44,18
45,45,19
46,46,19
47,47,18
48,48,18
49,49,19
50,50,19
51,51,19
52,52,19
53,53,21
54,54,20
55,55,20
56,56,20
57,57,17
58,58,17
59,59,17
60,60,17
61,61,17
62,62,18
63,63,19
64,64,19
65,65,19
66,66,19
67,67,20
68,68,20
69,69,19
70,70,19
71,71,20
72,72,20
73,73,20
74,74,21
75,75,18
76,76,18
77,77,18
78,78,18
79,79,19
80,80,19
81,81,19
82,82,20
83,83,21
84,84,22
85,85,22
86,86,22
87,87,23
88,88,23
89,89,24
90,90,24
91,91,24
92,92,25
93,93,24
94,94,24
95,95,24
96,96,24
97,97,22
98,98,23
99,99,23
100,100,23
