,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,100,1.0,607,132,19,6,22,1
1,100,1.0,854,70,19,7,10,1
2,100,0.9994452149791956,745,84,19,12,7,1
3,100,0.9991678224687933,579,132,19,6,22,1
4,100,0.9990753582986592,837,70,19,7,10,1
5,100,0.9988904299583912,691,98,22,7,14,6
6,100,0.998705501618123,621,110,19,5,22,1
7,100,0.997411003236246,699,84,19,12,7,1
8,100,0.9969486823855755,552,144,20,12,12,7
9,100,0.996301433194637,801,70,19,7,10,1
10,100,0.991123439667129,772,70,18,10,7,7
11,100,0.9868700878409616,665,91,19,13,7,2
12,100,0.9864077669902913,857,63,21,7,9,2
13,100,0.9853906611188165,756,70,19,7,10,1
14,100,0.9851132686084142,607,100,19,5,20,3
15,100,0.9777161349976884,607,98,21,7,14,6
16,100,0.9621821544151641,703,70,19,7,10,1
17,100,0.9567267683772538,625,80,19,4,20,3
18,80,0.9567267683772538,625,80,19,4,20,3
19,100,0.9547850208044383,691,70,19,7,10,2
20,100,0.9536754507628294,859,49,19,7,7,5
21,100,0.9528432732316228,854,49,19,7,7,5
22,100,0.9509015256588073,772,60,19,10,6,1
23,100,0.9484974572353213,607,90,19,9,10,3
24,100,0.946925566343042,581,90,19,6,15,1
25,100,0.9449838187702265,837,50,20,10,5,9
26,100,0.9371243643088303,607,84,19,12,7,1
27,100,0.9344429033749422,603,84,19,12,7,1
28,100,0.9172445677300046,772,49,19,7,7,5
29,100,0.8974572353213129,604,70,19,7,10,2
30,100,0.888673139158576,513,98,21,7,14,6
31,100,0.8796116504854369,552,88,22,4,22,2
32,100,0.8748035136384651,989,35,17,5,7,1
33,100,0.8731391585760517,805,42,20,7,6,6
34,100,0.8587147480351364,865,40,19,4,10,1
35,100,0.8521497919556172,513,90,19,9,10,3
36,100,0.8347665279704115,531,84,19,12,7,1
37,100,0.8163661581137309,502,81,18,9,9,7
38,80,0.8163661581137309,502,81,18,9,9,7
39,100,0.8109107720758206,669,52,19,4,13,1
40,100,0.8021266759130837,607,54,19,9,6,1
41,100,0.8005547850208045,860,34,18,2,17,1
42,100,0.7915857605177994,685,51,18,3,17,2
43,80,0.7915857605177994,685,51,18,3,17,2
44,100,0.7763291724456773,500,84,19,12,7,1
45,100,0.7741100323624596,511,70,19,7,10,2
46,100,0.7664355062413315,573,56,19,7,8,4
47,100,0.7540453074433657,503,70,19,10,7,1
48,100,0.7345353675450763,665,46,18,2,23,1
49,100,0.7102172907998151,984,27,23,3,9,2
50,80,0.7102172907998151,984,27,23,3,9,2
51,100,0.7096625057790107,659,42,19,14,3,1
52,100,0.6874711049468331,689,40,19,4,10,1
53,100,0.6786870087840962,546,60,20,3,20,1
54,100,0.6741562644475266,581,48,19,4,12,2
55,100,0.6661118816458622,607,44,19,2,22,1
56,100,0.6564956079519186,815,28,19,2,14,1
57,100,0.6406842348589922,607,42,19,6,7,1
58,100,0.6238557558945909,710,33,19,11,3,5
59,80,0.6238557558945909,710,33,19,11,3,5
60,100,0.6170134073046695,772,28,19,4,7,3
61,80,0.6170134073046695,772,28,19,4,7,3
62,100,0.6036985668053629,618,40,19,4,10,1
63,100,0.5896440129449838,854,25,19,5,5,4
64,100,0.5891816920943135,539,46,20,2,23,1
65,100,0.5562644475265834,772,26,19,13,2,1
66,100,0.555709662505779,901,21,18,3,7,1
67,100,0.5454461396208969,671,30,19,6,5,3
68,100,0.521497919556172,602,35,19,5,7,2
69,100,0.510124826629681,563,36,18,2,18,1
70,100,0.5052242256125751,865,20,19,2,10,1
71,100,0.5002311604253352,854,20,19,2,10,1
72,100,0.4798890429958391,550,36,16,2,18,1
73,80,0.4798890429958391,550,36,16,2,18,1
74,100,0.47942672214516874,772,22,19,2,11,1
75,100,0.4702727693018955,814,20,19,10,2,1
76,80,0.4702727693018955,814,20,19,10,2,1
77,100,0.46703652334720297,772,21,19,3,7,1
78,100,0.45187239944521496,865,18,19,6,3,1
79,100,0.4387424872861766,572,30,19,3,10,1
80,80,0.4387424872861766,572,30,19,3,10,1
81,100,0.42163661581137307,752,20,17,2,10,1
82,80,0.42163661581137307,752,20,17,2,10,1
83,100,0.408876560332871,549,30,19,6,5,5
84,100,0.3965788257050393,772,18,18,6,3,1
85,100,0.3630143319463708,626,22,18,2,11,1
86,80,0.3630143319463708,626,22,18,2,11,1
87,100,0.360795191863153,865,14,19,7,2,4
88,100,0.35071659731853905,772,16,19,4,4,1
89,100,0.34646324549237173,700,18,19,2,9,1
90,100,0.3434119278779473,689,20,23,10,2,1
91,80,0.3434119278779473,689,20,23,10,2,1
92,100,0.34184003698566806,690,18,19,2,9,1
93,80,0.34184003698566806,690,18,19,2,9,1
94,100,0.3388811835413777,573,24,19,3,8,2
95,80,0.3388811835413777,573,24,19,3,8,2
96,100,0.3302820157189089,814,14,19,2,7,1
97,100,0.32186777623670826,665,18,20,2,9,1
98,100,0.3146555709662506,607,21,22,7,3,3
99,100,0.31308368007397136,821,13,19,13,1,3
100,100,0.310124826629681,777,14,19,2,7,1
101,100,0.3069810448451225,772,14,19,2,7,1
102,80,0.3069810448451225,772,14,19,2,7,1
103,100,0.3021729079981507,801,13,19,13,1,3
