,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
0,0,1.0,0.009986130374479889,0.6299667969570882,0.33332929230049513,984,513,703.030303030303,129.7308475383951,216.0,1.0,59.0,47.524993424512964
1,1,1.0,0.009986130374479889,0.641411003236246,0.329029969988786,988,513,706.46,140.19333734787364,276.0,1.0,63.26,58.14928360412939
2,2,1.0,0.009986130374479889,0.6792926490984744,0.32469480865697914,988,513,702.3,135.26587754167213,276.0,1.0,67.56666666666666,57.55685962937416
3,3,1.0,0.009986130374479889,0.6865343367969502,0.32625456056368746,988,513,702.2459016393443,133.50676084474836,276.0,1.0,66.57377049180327,54.468479880995844
4,4,1.0,0.009986130374479889,0.7103231555743164,0.31639612473786094,989,513,705.7391304347826,134.2596970069917,276.0,1.0,68.27536231884058,52.9047101366807
5,5,1.0,0.009986130374479889,0.7046800079255003,0.3116062326358234,990,513,700.2571428571429,136.47707093233336,276.0,1.0,66.04285714285714,51.57109507069721
6,6,1.0,0.009986130374479889,0.7156414389424098,0.30747414761967184,990,513,704.2837837837837,137.09006341400791,276.0,1.0,65.51351351351352,50.87891703294225
7,7,1.0,0.009986130374479889,0.7305808328540982,0.2973803001015087,990,513,691.5243902439024,131.4786961675537,276.0,1.0,67.5609756097561,49.55732372554944
8,8,1.0,0.009986130374479889,0.7515833219023234,0.2897338775553054,990,513,688.1428571428571,130.69281808275733,276.0,1.0,71.28571428571429,50.94294972794693
9,9,1.0,0.009986130374479889,0.7437807795131561,0.2880805787828615,990,513,685.6304347826087,132.61219321321803,276.0,1.0,68.31521739130434,49.630487206874996
10,10,1.0,0.009986130374479889,0.7268476322567863,0.2935645926929506,990,513,682.1938775510204,131.89887239642636,276.0,1.0,65.77551020408163,49.06896695242568
11,11,1.0,0.009986130374479889,0.7208183951360356,0.29405722734357825,990,513,681.9528301886793,130.13358572932233,216.0,1.0,62.60377358490566,43.13956955991697
12,12,1.0,0.009986130374479889,0.7280727825110628,0.2892910980823484,990,513,677.4017857142857,129.83464603909778,216.0,1.0,63.526785714285715,42.900043012521465
13,13,1.0,0.009986130374479889,0.7332810709763011,0.28753386714708057,990,513,682.5826086956522,130.40853369239943,216.0,1.0,62.495652173913044,41.43593107967237
14,14,1.0,0.009986130374479889,0.7387326345467361,0.28523258584389755,990,513,682.139344262295,130.54262567039865,216.0,1.0,63.368852459016395,41.46235987345117
15,15,1.0,0.009986130374479889,0.7421311546463245,0.2835472181291351,990,513,685.140625,130.24191509207162,216.0,1.0,63.0703125,40.79875395537251
16,16,1.0,0.009986130374479889,0.7478475083605832,0.28504709248691057,990,513,682.043795620438,129.72198034831,216.0,1.0,64.82481751824818,42.00558397932824
17,17,1.0,0.009986130374479889,0.7415087624768424,0.2845733110950649,990,513,676.2446043165468,127.69142162047628,216.0,1.0,64.56834532374101,42.49911343656924
18,18,1.0,0.009986130374479889,0.7429628161944389,0.2842619178463522,990,513,675.4642857142857,127.52973475894773,216.0,1.0,64.87857142857143,42.85066386449518
19,19,1.0,0.009986130374479889,0.7559603707254714,0.28051947187671955,990,513,672.0335570469799,128.76253106729658,216.0,1.0,67.16107382550335,43.20036084591757
20,20,1.0,0.009986130374479889,0.7615031022612495,0.2775126699601224,990,513,669.1464968152866,128.03504204261486,216.0,1.0,68.39490445859873,43.50401660822262
21,21,1.0,0.003236245954692557,0.7526624674976663,0.28224781755576295,990,513,667.9490445859873,129.05270222279117,216.0,1.0,66.6624203821656,42.77768321547678
22,22,1.0,0.003236245954692557,0.7520434581599631,0.27890505573468627,990,513,670.81875,128.10618001063898,216.0,1.0,64.5375,39.56936231432425
23,23,1.0,0.003236245954692557,0.7480599438449308,0.2820505102029315,990,513,669.969512195122,128.13262031951362,216.0,1.0,64.57317073170732,40.25212885055086
24,24,1.0,0.003236245954692557,0.7489828941285251,0.28276711316993897,990,513,669.8035714285714,128.33527660273873,216.0,1.0,65.4047619047619,41.76298078459951
25,25,1.0,0.003236245954692557,0.7476945339048351,0.28215809469657926,990,513,666.2090395480226,127.25295284877038,216.0,1.0,65.92655367231639,42.79390655950359
26,26,1.0,0.003236245954692557,0.749612164175271,0.2801214019915947,990,513,665.0777777777778,126.78854324797942,216.0,1.0,65.88333333333334,42.632150770628634
27,27,1.0,0.003236245954692557,0.7514023315965064,0.27856484890801436,990,513,663.0972972972972,126.59362939550026,216.0,1.0,66.87027027027027,43.89506301387178
28,28,1.0,0.003236245954692557,0.7512478993755,0.28165006728559516,990,513,661.5767195767196,125.97602223654818,216.0,1.0,67.44444444444444,44.43993475938549
29,29,1.0,0.003236245954692557,0.7488575808453172,0.2832182665380868,990,500,665.3210526315789,127.22540543164281,204.0,1.0,65.09473684210526,40.482035648517495
30,30,1.0,0.003236245954692557,0.7501056733372962,0.2810014418279722,990,500,665.3316326530612,127.93675207971081,204.0,1.0,65.10714285714286,40.14516926586081
31,31,1.0,0.003236245954692557,0.751015471403821,0.2793808645906589,990,500,664.8080808080808,128.24521853270417,204.0,1.0,64.95454545454545,40.11016497801912
32,32,1.0,0.003236245954692557,0.7520097359332082,0.2788815048588049,990,500,664.4705882352941,126.7768456336363,204.0,1.0,64.98039215686275,39.85700558781023
33,33,1.0,0.003236245954692557,0.7553885186563377,0.27871301075809524,990,500,665.0292682926829,126.51063321175202,204.0,1.0,65.35609756097561,40.24148947159385
34,34,1.0,0.003236245954692557,0.7549757005045712,0.2771593699860313,990,500,663.6698564593302,126.60914681867334,204.0,1.0,65.2535885167464,39.96353865909261
35,35,1.0,0.003236245954692557,0.755292916411952,0.2758895609117905,990,500,664.0189573459716,126.02017835725121,204.0,1.0,64.81516587677726,39.17468761653763
36,36,1.0,0.003236245954692557,0.7513016355931662,0.27925009491558367,990,500,662.6497695852535,125.48792516960582,204.0,1.0,64.75115207373273,39.27541417208485
37,37,1.0,0.003236245954692557,0.7523519522548648,0.27762401749786564,990,500,661.1818181818181,125.58249171357299,204.0,1.0,65.03181818181818,39.284977857491455
38,38,1.0,0.003236245954692557,0.7486602109103536,0.27857248981651395,990,500,661.3574660633484,128.25873637054187,204.0,1.0,64.10407239819004,38.77455857171166
39,39,1.0,0.003236245954692557,0.7468599860285416,0.27692195381158957,990,500,662.6211453744494,128.84375903069653,204.0,1.0,63.6784140969163,38.67801759735617
40,40,1.0,0.003236245954692557,0.7499064350659357,0.27550458130197736,990,500,662.1688311688312,128.2067693997951,204.0,1.0,63.891774891774894,38.44874026162141
41,41,1.0,0.003236245954692557,0.7501130654967434,0.2755831331843303,990,500,660.3723849372385,127.3254260081376,204.0,1.0,64.10460251046025,38.142390506073525
