,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
0,0,50,33,0.6523143781784558,0.34144549941169766,0.009986130374479889,1.0,760.64,144.81170670909174,513.0,993.0,75.4,64.50519358935372,1.0,286.0
1,1,50,24,0.8878076745261211,0.12135652579702465,0.5453536754507629,1.0,746.76,133.1379074493812,513.0,993.0,99.4,60.89466314875221,27.0,286.0
2,2,50,22,0.8745390661118816,0.12336377748255525,0.5453536754507629,1.0,733.28,138.6337678922419,513.0,993.0,82.7,47.64462194204085,27.0,276.0
3,3,50,21,0.8587868700878409,0.12895522081533095,0.561997226074896,1.0,713.84,133.33872055783345,513.0,984.0,84.78,55.7950858051137,27.0,276.0
4,4,50,19,0.8502949607027277,0.12586086900913288,0.5329634766527971,1.0,706.0,137.23745844338563,513.0,989.0,78.88,47.918530862287504,27.0,276.0
5,5,50,24,0.8373832639852057,0.14367403293916306,0.5051317614424411,1.0,703.98,131.50794500713636,513.0,984.0,74.64,43.89430942616595,27.0,216.0
6,6,50,25,0.8121331484049932,0.1587751052274959,0.5051317614424411,1.0,695.02,129.98776711675603,513.0,984.0,71.74,44.58376834678737,27.0,216.0
7,7,50,15,0.8185464632454924,0.1606820204391268,0.5051317614424411,1.0,698.96,133.6284340999325,513.0,984.0,74.98,47.80857245306536,24.0,216.0
8,8,50,17,0.8189921405455387,0.16043100017843623,0.5051317614424411,1.0,706.2,132.32777486227144,513.0,984.0,72.46,46.545551882000495,24.0,216.0
9,9,50,17,0.8065483125288953,0.16053187149499376,0.5051317614424411,1.0,706.74,131.41716935012715,513.0,984.0,69.22,45.08449400847258,24.0,216.0
10,10,50,19,0.8186407766990291,0.16773239317897568,0.5051317614424411,1.0,716.12,141.79148634526686,513.0,984.0,76.16,55.36943561207753,24.0,252.0
11,11,50,23,0.8232547387887194,0.1674916919173652,0.5051317614424411,1.0,715.74,142.37876386596423,513.0,984.0,75.98,55.28670364563256,24.0,252.0
12,12,50,13,0.8285492371705964,0.1716977266726188,0.5051317614424411,1.0,722.88,149.51717493318287,513.0,984.0,78.34,58.954765710670074,24.0,252.0
13,13,50,18,0.8206527970411466,0.17016419235294322,0.5051317614424411,1.0,713.02,148.38928397967283,513.0,984.0,75.54,56.573919786417484,24.0,252.0
14,14,50,13,0.8295811373092927,0.16866120977406382,0.5051317614424411,1.0,711.04,154.46681973809132,513.0,984.0,77.1,55.99651774887435,24.0,252.0
15,15,50,8,0.8323476652797042,0.16836232113803423,0.5051317614424411,1.0,708.54,157.8685795210687,513.0,984.0,78.24,56.589949637722775,24.0,252.0
16,16,50,23,0.8185538603791032,0.16775792363473277,0.5051317614424411,1.0,725.56,158.12073361833356,513.0,993.0,70.52,50.475039375913326,24.0,252.0
17,17,50,18,0.8137790106333795,0.16448454368796595,0.5051317614424411,1.0,724.06,154.24686836367212,513.0,993.0,68.22,49.12567149668288,24.0,252.0
18,18,50,15,0.8068238557558947,0.17176114776601278,0.5051317614424411,1.0,729.88,156.61387422575308,513.0,993.0,68.16,49.12040716443625,24.0,252.0
19,19,50,14,0.8111141932501156,0.16907733387408352,0.5051317614424411,1.0,741.24,161.38668594403939,513.0,993.0,67.64,49.2157535754559,24.0,252.0
20,20,50,17,0.8097327785483127,0.170832290384451,0.5051317614424411,1.0,730.56,158.00723527737583,513.0,993.0,68.36,48.82653377007219,24.0,252.0
