,generation,index,coverage,altitude,num_sats,inclination,num_planes,num_sats_per_plane,phasing
0,0,1,0.9988904299583912,552,216,25,12,18,2
1,0,2,0.7071659731853907,547,68,18,4,17,3
2,0,3,0.8339343504392048,513,92,23,4,23,3
3,0,4,0.9478502080443828,859,56,23,7,8,4
4,0,5,0.9257512713823394,857,54,21,6,9,2
5,0,6,0.8644475265834489,694,72,16,6,12,5
6,0,7,0.9727230698104484,650,120,25,10,12,4
7,0,8,0.7586685159500693,825,36,20,3,12,2
8,0,9,0.9302820157189089,607,115,25,5,23,1
9,0,10,0.5453536754507629,583,63,22,7,9,6
10,0,11,0.9990753582986592,852,88,23,4,22,2
11,0,12,1.0,882,133,24,7,19,4
12,0,13,0.7915857605177994,685,51,18,3,17,2
13,0,14,0.9928802588996763,805,91,16,7,13,5
14,0,15,0.9813222376329173,739,90,23,5,18,1
15,0,16,0.7148404993065187,578,78,20,13,6,9
16,0,17,0.8042533518261673,874,42,22,14,3,13
17,0,18,0.9426722145168747,772,66,17,3,22,2
18,0,19,0.7102172907998151,984,27,23,3,9,2
19,0,20,1.0,691,135,22,9,15,2
20,0,21,0.9121590383726306,943,63,16,7,9,4
21,0,22,0.7779010633379565,635,180,15,12,15,9
22,0,23,0.9969486823855755,945,105,25,5,21,2
23,0,24,0.7748497457235322,811,54,25,3,18,1
24,0,25,0.7979657882570504,948,54,19,9,6,2
25,0,26,1.0,835,147,22,7,21,4
26,0,27,1.0,821,286,17,13,22,7
27,0,28,0.9867776236708276,967,132,24,12,11,4
28,0,29,0.9989828941285251,848,198,16,11,18,5
29,0,30,1.0,865,154,19,7,22,6
30,0,31,0.829033749422099,975,140,20,14,10,4
31,0,32,1.0,993,216,18,9,24,4
32,0,33,0.4929264909847434,563,36,21,2,18,1
33,0,34,0.4575127138233934,893,24,25,6,4,3
34,0,35,0.3630143319463708,626,22,18,2,11,1
35,0,36,0.3388811835413777,573,24,19,3,8,2
36,0,37,0.3324086916319926,546,56,15,14,4,3
37,0,38,0.3021729079981507,801,13,19,13,1,3
38,0,39,0.27360147942672214,705,14,19,2,7,1
39,0,40,0.2616736014794267,529,30,18,10,3,2
40,0,41,0.26056403143781787,616,16,19,2,8,1
41,0,42,0.24743411927877948,640,20,18,4,5,3
42,0,43,0.15931576514100787,722,8,17,8,1,6
43,0,44,0.14766527970411467,988,20,23,1,20,1
44,0,45,0.13573740175681923,931,8,15,4,2,2
45,0,46,0.11234396671289876,860,22,16,1,22,1
46,0,47,0.10901525658807212,827,24,16,1,24,1
47,0,48,0.09431345353675451,610,6,20,2,3,1
48,0,49,0.02061950993989829,665,4,22,1,4,1
49,0,50,0.009986130374479889,802,1,21,1,1,1
50,1,1,0.9988904299583912,552,216,25,12,18,2
51,1,2,0.7071659731853907,547,68,18,4,17,3
52,1,3,0.8339343504392048,513,92,23,4,23,3
53,1,4,0.9478502080443828,859,56,23,7,8,4
54,1,5,0.9257512713823394,857,54,21,6,9,2
55,1,6,0.8644475265834489,694,72,16,6,12,5
56,1,7,0.9727230698104484,650,120,25,10,12,4
57,1,8,0.7586685159500693,825,36,20,3,12,2
58,1,9,0.9990753582986592,852,88,23,4,22,2
59,1,10,1.0,882,133,24,7,19,4
60,1,11,0.7915857605177994,685,51,18,3,17,2
61,1,12,0.9813222376329173,739,90,23,5,18,1
62,1,13,0.7148404993065187,578,78,20,13,6,9
63,1,14,0.8042533518261673,874,42,22,14,3,13
64,1,15,0.9426722145168747,772,66,17,3,22,2
65,1,16,0.7102172907998151,984,27,23,3,9,2
66,1,17,1.0,691,135,22,9,15,2
67,1,18,0.9389736477115118,573,90,19,5,18,1
68,1,19,0.8466019417475729,860,44,19,2,22,1
69,1,20,0.8601017105871475,513,276,15,12,23,3
70,1,21,1.0,993,91,18,7,13,5
71,1,22,0.6794267221451687,578,54,21,6,9,5
72,1,23,0.561997226074896,804,40,16,10,4,5
73,1,24,0.7744798890429958,665,54,21,6,9,2
74,1,25,0.9813222376329173,852,72,23,4,18,3
75,1,26,0.9558945908460471,874,56,23,7,8,4
76,1,27,0.8530744336569579,859,45,15,3,15,1
77,1,28,0.9647711511789182,825,72,20,3,24,2
78,1,29,0.8646324549237171,722,54,17,9,6,6
79,1,30,0.970873786407767,552,162,25,9,18,2
80,1,31,0.997595931576514,801,91,19,13,7,1
81,1,32,0.9184466019417475,610,88,23,4,22,1
82,1,33,0.7174294960702727,616,80,18,10,8,1
83,1,34,0.9459084604715673,860,63,16,7,9,1
84,1,35,0.9687471104946833,650,120,16,10,12,5
85,1,36,1.0,699,264,22,12,22,2
86,1,37,1.0,821,220,17,10,22,7
87,1,38,0.9972260748959778,722,136,17,8,17,6
88,1,39,1.0,835,140,22,7,20,1
89,1,40,0.9302820157189089,607,115,25,5,23,1
90,1,41,0.9302820157189089,607,115,25,5,23,1
91,1,42,0.5453536754507629,583,63,22,7,9,6
92,1,43,0.8096162736939436,872,48,16,4,12,1
93,1,44,0.9472029588534443,988,78,20,13,6,1
94,1,45,0.7748497457235322,811,54,25,3,18,1
95,1,46,0.9928802588996763,805,91,16,7,13,5
96,1,47,0.9969486823855755,945,105,25,5,21,2
97,1,48,1.0,821,286,17,13,22,7
98,1,49,1.0,835,147,22,7,21,4
99,1,50,0.7120665742024965,626,132,25,12,11,1
100,2,1,0.9988904299583912,552,216,25,12,18,2
101,2,2,0.7071659731853907,547,68,18,4,17,3
