,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784558,0.34144549941169766,993.0,513.0,760.64,144.81170670909174,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,26,1.0,0.009986130374479889,0.6492020342117429,0.31341939332657154,988.0,513.0,721.5,143.90486440701022,286.0,1.0,60.4,53.737882355001666,1,50,26,1,50,26,1,50,26
2,2,50,26,1.0,0.009986130374479889,0.602705501618123,0.33028969844431716,988.0,513.0,704.82,149.48507484026626,286.0,1.0,59.04,58.00653756258858,2,50,26,2,50,26,2,50,26
3,3,50,28,1.0,0.009986130374479889,0.5932482662968099,0.33560770556990266,988.0,513.0,703.34,143.45167966949705,286.0,1.0,56.3,56.55413335911001,3,50,28,3,50,28,3,50,28
4,4,50,26,1.0,0.005917706888580675,0.6023208506703653,0.3395985065181501,988.0,513.0,711.84,140.1060112914503,286.0,1.0,55.84,55.89002057612791,4,50,26,4,50,26,4,50,26
5,5,50,27,1.0,0.005917706888580675,0.6305926953305594,0.33110338863684335,990.0,513.0,707.06,147.3982917133031,216.0,1.0,55.56,47.384875224062796,5,50,27,5,50,27,5,50,27
6,6,50,29,1.0,0.005917706888580675,0.6426259824318076,0.33529724913382075,990.0,513.0,716.06,149.76934399268762,216.0,1.0,59.72,52.636124477396706,6,50,29,6,50,29,6,50,29
7,7,50,32,1.0,0.005917706888580675,0.643628294036061,0.3307063842015105,990.0,513.0,707.84,150.9092919604356,240.0,1.0,64.34,59.84834500635753,7,50,32,7,50,32,7,50,32
8,8,50,16,1.0,0.005917706888580675,0.6258862690707351,0.31947394371923027,990.0,513.0,724.46,150.25660850691392,240.0,1.0,57.78,55.272521201768974,8,50,16,8,50,16,8,50,16
9,9,50,21,1.0,0.005917706888580675,0.6529153952843274,0.3186926538291645,990.0,513.0,709.02,152.73578362649664,240.0,1.0,64.56,61.680518804562595,9,50,21,9,50,21,9,50,21
10,10,50,17,1.0,0.003236245954692557,0.6235968562182154,0.3377984591883192,990.0,513.0,707.84,154.3711579278979,240.0,1.0,64.32,65.88973819951025,10,50,17,10,50,17,10,50,17
11,11,50,17,1.0,0.003236245954692557,0.6089301895515488,0.31819095676073633,990.0,513.0,708.96,151.74570306931264,216.0,1.0,53.84,50.54081914650771,11,50,17,11,50,17,11,50,17
12,12,50,18,1.0,0.003236245954692557,0.6079907535829866,0.34609002969550207,990.0,513.0,707.34,156.82431061541448,216.0,1.0,56.72,55.867357195414215,12,50,18,12,50,18,12,50,18
13,13,50,22,1.0,0.003236245954692557,0.6182006472491909,0.35357193683564353,998.0,513.0,724.3,155.53613728005462,216.0,1.0,61.36,59.934217271939076,13,50,22,13,50,22,13,50,22
14,14,50,18,1.0,0.003236245954692557,0.6009930651872399,0.346916100864813,998.0,513.0,714.4,157.4833324514058,216.0,1.0,58.1,55.78897740593566,14,50,18,14,50,18,14,50,18
15,15,50,10,1.0,0.003236245954692557,0.6214775774387425,0.35164444402785566,990.0,513.0,722.52,153.05544616249367,216.0,1.0,58.78,55.661581005214,15,50,10,15,50,10,15,50,10
16,16,50,18,1.0,0.003236245954692557,0.6136088765603328,0.350597617796313,993.0,513.0,712.08,148.9970254736651,216.0,1.0,59.16,56.34975066493196,16,50,18,16,50,18,16,50,18
17,17,50,24,1.0,0.003236245954692557,0.6270198797965788,0.3417372501408048,993.0,513.0,716.76,145.3849455755306,216.0,1.0,58.98,56.059072414730515,17,50,24,17,50,24,17,50,24
18,18,50,16,1.0,0.003236245954692557,0.5751030975496996,0.3454865580623676,993.0,513.0,712.78,144.97838321625747,180.0,1.0,47.26,43.451955076843205,18,50,16,18,50,16,18,50,16
19,19,50,24,1.0,0.003236245954692557,0.6024780397595931,0.3436381446129593,993.0,513.0,719.92,148.64667369302282,180.0,1.0,49.92,43.61827140087053,19,50,24,19,50,24,19,50,24
20,20,50,22,1.0,0.003236245954692557,0.6070328247803976,0.3477420707876805,993.0,513.0,702.92,151.89836602149478,180.0,1.0,55.26,48.9778766383354,20,50,22,20,50,22,20,50,22
21,21,50,21,1.0,0.003236245954692557,0.6297142857142857,0.3429033188478572,993.0,513.0,702.74,155.7870097280258,180.0,1.0,57.64,48.88057282806739,21,50,21,21,50,21,21,50,21
22,22,50,23,1.0,0.0030513176144244107,0.6017938049006011,0.3555099463241553,993.0,513.0,692.4,149.89489651085523,180.0,1.0,56.02,49.74595058896754,22,50,23,22,50,23,22,50,23
23,23,50,15,1.0,0.0030513176144244107,0.5918391123439667,0.34274258675082453,993.0,513.0,683.22,144.74077379923048,180.0,1.0,53.34,48.013585577417565,23,50,15,23,50,15,23,50,15
24,24,50,24,1.0,0.0030513176144244107,0.6046860841423948,0.3385241000814988,993.0,513.0,695.26,151.91100157658101,180.0,1.0,53.94,48.312900968581886,24,50,24,24,50,24,24,50,24
25,25,50,16,1.0,0.0030513176144244107,0.6507202958853445,0.33703502498698823,993.0,513.0,718.82,152.09913740715297,180.0,1.0,58.86,50.350773578963015,25,50,16,25,50,16,25,50,16
26,26,50,23,1.0,0.0030513176144244107,0.6357115117891817,0.3293888800478287,993.0,513.0,736.4,152.82866223323424,180.0,1.0,55.0,48.34376898836085,26,50,23,26,50,23,26,50,23
27,27,50,18,1.0,0.0030513176144244107,0.6415016181229772,0.34050160053136425,993.0,513.0,715.0,149.83310715592864,180.0,1.0,54.1,46.57993130093689,27,50,18,27,50,18,27,50,18
28,28,50,18,1.0,0.0030513176144244107,0.6252353213129913,0.33201611329415703,993.0,513.0,698.1,149.6585781036289,180.0,1.0,54.4,47.288899331661334,28,50,18,28,50,18,28,50,18
29,29,50,19,1.0,0.0030513176144244107,0.6743226999537678,0.3243943245584861,993.0,500.0,704.48,142.9369427404966,180.0,1.0,56.96,45.111399889606616,29,50,19,29,50,19,29,50,19
30,30,50,19,1.0,0.0030513176144244107,0.6715413777161349,0.3280528905208898,993.0,500.0,700.66,146.57047588105866,242.0,1.0,60.82,52.09325868094643,30,50,19,30,50,19,30,50,19
31,31,50,21,1.0,0.0030513176144244107,0.6581525658807214,0.33619844236792057,993.0,500.0,686.98,144.66782503376487,242.0,1.0,63.74,58.16349714382724,31,50,21,31,50,21,31,50,21
32,32,50,20,1.0,0.0030513176144244107,0.6388016643550624,0.34206919416557985,993.0,500.0,692.36,149.18843923039077,242.0,1.0,62.96,60.68903031026282,32,50,20,32,50,20,32,50,20
33,33,50,15,1.0,0.0031437817845584837,0.641817845584836,0.3341282113923514,993.0,500.0,710.18,155.48783746647197,187.0,1.0,57.88,51.6355071631915,33,50,15,33,50,15,33,50,15
34,34,50,21,1.0,0.0031437817845584837,0.6362367082755432,0.3523095200267729,993.0,500.0,701.16,149.45264935758084,264.0,1.0,62.48,59.80576560834248,34,50,21,34,50,21,34,50,21
35,35,50,15,1.0,0.0031437817845584837,0.6306463245492372,0.34980234682240313,993.0,500.0,710.1,148.93626153492642,264.0,1.0,63.22,64.57160056867104,35,50,15,35,50,15,35,50,15
36,36,50,21,1.0,0.0031437817845584837,0.6207914932963476,0.3546752922231469,993.0,500.0,692.4,150.5067440349435,264.0,1.0,63.54,63.91062822410684,36,50,21,36,50,21,36,50,21
37,37,50,18,1.0,0.0031437817845584837,0.6533795654184003,0.340832778054872,1000.0,500.0,685.9,149.8642385627739,264.0,1.0,65.9,63.125351484169975,37,50,18,37,50,18,37,50,18
38,38,50,21,1.0,0.0031437817845584837,0.6396671289875173,0.33303581988850905,1000.0,500.0,694.84,150.41613743212528,180.0,1.0,55.82,45.97638089280191,38,50,21,38,50,21,38,50,21
39,39,50,17,1.0,0.0031437817845584837,0.6181840036985667,0.3350544282673898,1000.0,500.0,701.22,159.4055569922203,180.0,1.0,52.36,45.10732091357233,39,50,17,39,50,17,39,50,17
40,40,50,14,1.0,0.0031437817845584837,0.6379602404068423,0.3326349706124311,1000.0,500.0,684.62,158.39632445230538,180.0,1.0,58.22,48.82838928328478,40,50,14,40,50,14,40,50,14
41,41,50,24,1.0,0.0031437817845584837,0.587674526121128,0.3576206623884015,1000.0,500.0,698.84,159.87949962393552,180.0,1.0,52.32,49.257056347288966,41,50,24,41,50,24,41,50,24
42,42,50,9,1.0,0.0031437817845584837,0.604295885344429,0.3516276408151387,1000.0,500.0,694.24,157.00669539863577,180.0,1.0,53.16,48.57586231864546,42,50,9,42,50,9,42,50,9
43,43,50,16,1.0,0.0031437817845584837,0.6237115117891817,0.3643241955592073,1000.0,500.0,675.6,156.21587627382823,189.0,1.0,59.68,52.72928598037337,43,50,16,43,50,16,43,50,16
44,44,50,20,1.0,0.0031437817845584837,0.6526324549237171,0.36802535625277955,1000.0,500.0,680.34,159.11437521481207,216.0,1.0,64.98,56.36399205166362,44,50,20,44,50,20,44,50,20
45,45,50,16,1.0,0.0031437817845584837,0.6766306056403143,0.351546902000258,1000.0,500.0,701.36,166.48876959122498,216.0,1.0,67.86,59.23175162022477,45,50,16,45,50,16,45,50,16
