,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
0,0,50,0,1.0,0.4575127138233934,0.8805769764216366,0.15729627104842653,993.0,513.0,748.64,134.3898448544383,286.0,24.0,117.12,70.01418142062364
1,1,50,0,1.0,0.5453536754507629,0.9555765141007859,0.08581321248799165,993.0,547.0,751.32,134.75688331213362,286.0,51.0,162.48,72.02200774763224
2,2,50,0,1.0,0.2848821081830791,0.9364234858992141,0.13349804492691716,993.0,547.0,800.82,126.46354257255331,288.0,16.0,160.96,76.08599345477458
3,3,50,0,1.0,0.7779010633379565,0.9791974110032362,0.05433896567252757,993.0,552.0,819.38,108.52702704856519,286.0,48.0,180.76,63.85375791603811
4,4,50,0,1.0,0.9121590383726306,0.9946019417475728,0.01742579357842526,993.0,552.0,817.56,103.9746430626237,286.0,54.0,187.2,63.12875731392152
5,5,50,0,1.0,0.9121590383726306,0.9922145168747111,0.022578599248287354,943.0,552.0,844.06,84.16754956632633,286.0,54.0,176.34,67.43281397064784
6,6,50,0,1.0,0.8757281553398059,0.9902894128525196,0.02688018184874136,943.0,552.0,848.0,85.82423900041293,273.0,63.0,175.54,64.21688562987153
7,7,50,0,1.0,0.8757281553398059,0.9930762829403607,0.024266873206822696,943.0,552.0,848.5,87.49017087650475,273.0,63.0,178.86,59.424913967123246
8,8,50,0,1.0,0.2840499306518724,0.9763643088303283,0.11035535121578426,943.0,552.0,828.82,121.09974236141049,286.0,11.0,161.12,56.95494359579334
9,9,50,0,1.0,0.2840499306518724,0.9641719833564494,0.1388233342805954,943.0,552.0,819.44,132.43823617067696,286.0,11.0,161.9,66.89730936293327
10,10,50,0,1.0,0.8551086453999075,0.9932575127138235,0.02193194636376447,943.0,552.0,821.86,123.38768333995093,308.0,46.0,185.9,65.00253841197281
11,11,50,0,1.0,0.8551086453999075,0.9919371243643088,0.025887959766272582,943.0,552.0,825.68,122.36362858300663,322.0,46.0,192.26,70.1879790277509
12,12,50,0,1.0,0.9314840499306519,0.995367545076283,0.01368751142483733,943.0,552.0,809.36,136.29024323112787,322.0,63.0,185.08,70.36301301109837
13,13,50,0,1.0,0.8413314840499306,0.9889930651872398,0.03343502325923288,957.0,552.0,851.04,112.54456184107697,322.0,63.0,170.64,68.98224699152674
14,14,50,0,1.0,0.9314840499306519,0.9973425797503468,0.011324423450094816,957.0,614.0,874.08,89.58701691651531,322.0,63.0,175.32,66.22822359085286
15,15,50,0,1.0,0.9984281091077207,0.9999500693481277,0.0002530276567203169,957.0,614.0,864.04,98.02366244943106,322.0,75.0,180.18,54.99625078130327
16,16,50,0,1.0,0.8770226537216829,0.9927822468793344,0.027240794513211136,943.0,531.0,818.16,127.98302387426232,336.0,56.0,178.96,63.75733996960664
17,17,50,0,1.0,0.8770226537216829,0.9972778548312529,0.017238854431420817,943.0,601.0,843.08,107.61669758917525,336.0,95.0,190.28,61.19216943367836
18,18,50,0,1.0,0.989921405455386,0.9997337031900139,0.0014556151242411093,943.0,601.0,852.22,109.76744326074103,336.0,126.0,224.42,68.44124195249528
19,19,50,0,1.0,1.0,1.0,0.0,943.0,601.0,882.62,86.90521043067557,336.0,126.0,238.08,71.09819688290274
20,20,50,0,1.0,0.9980582524271845,0.9999611650485437,0.00027184466019417156,943.0,579.0,835.94,128.7533160738006,336.0,126.0,249.24,68.97059083406492
21,21,50,0,1.0,0.9774387424872861,0.9995099398982894,0.00316472045851476,943.0,601.0,827.82,129.20057120616764,336.0,126.0,236.04,66.41926226630343
22,22,50,0,1.0,0.9636615811373093,0.9986814609338882,0.0062901957994053945,943.0,591.0,819.54,132.90420760833723,336.0,90.0,243.22,71.85576942737445
23,23,50,0,1.0,0.9858529819694868,0.9996763754045307,0.001995191683178276,948.0,601.0,847.28,119.86609862675935,336.0,126.0,249.66,73.53383166951114
24,24,50,0,1.0,0.897364771151179,0.9934775774387424,0.02219553983592323,948.0,601.0,840.22,127.62292740726487,336.0,72.0,253.54,83.39813187356178
25,25,50,0,1.0,0.6723069810448451,0.9868626907073508,0.06420850146903351,951.0,511.0,854.5,123.23493822776072,336.0,44.0,257.56,81.6392454644211
26,26,50,0,1.0,0.6723069810448451,0.9899121590383726,0.050149706126522135,951.0,511.0,858.04,117.22558765047843,336.0,44.0,275.1,71.70167362063455
27,27,50,0,1.0,0.9749422098936662,0.9994932963476653,0.003507512970905282,951.0,511.0,882.32,91.78353665009864,336.0,143.0,283.02,67.04162587527244
28,28,50,0,1.0,0.6338418862690708,0.9924327323162274,0.05124120832973623,951.0,511.0,876.0,100.98296886109063,336.0,40.0,285.32,69.81531064172098
29,29,50,0,1.0,0.5414701803051317,0.9739898289412853,0.1020826603476686,951.0,504.0,868.8,117.14179442026659,336.0,40.0,273.04,84.39359217381376
30,30,50,0,1.0,0.2819232547387887,0.9512621359223301,0.14642362326382782,951.0,511.0,831.9,144.45722550291487,336.0,14.0,254.56,105.3140370510978
31,31,50,0,1.0,0.4689782709200185,0.9686269070735091,0.10182874866257677,957.0,511.0,800.04,163.86884511706305,336.0,18.0,262.96,101.88639948491654
32,32,50,0,1.0,0.8108183079056865,0.9887064262598244,0.03698672217637915,958.0,511.0,787.3,172.6318916075474,336.0,48.0,280.24,88.15952812940867
33,33,50,0,1.0,0.8108183079056865,0.990792417938049,0.035537848516610314,966.0,511.0,809.06,176.07207728654762,336.0,48.0,277.16,89.98496763348865
34,34,50,0,1.0,0.8944983818770227,0.9963920480813684,0.015506144731763908,958.0,511.0,758.6,185.46126280169668,336.0,45.0,274.14,91.17368260633108
35,35,50,0,1.0,0.9191863153028201,0.9962422561257513,0.012445783915036868,971.0,511.0,761.5,168.54284321797826,336.0,96.0,260.72,89.89928587035605
36,36,50,0,1.0,0.19935275080906148,0.9639963014331946,0.15108467814464857,971.0,511.0,740.16,185.3049767275558,336.0,21.0,250.54,102.49550429165173
37,37,50,0,1.0,0.7836338418862691,0.9879519186315302,0.04087700830309005,971.0,511.0,779.7,175.95763694707884,336.0,42.0,241.64,97.02262828845649
38,38,50,0,1.0,0.7836338418862691,0.994322699953768,0.030935764361364276,971.0,511.0,819.08,163.34048365301237,336.0,42.0,216.96,88.27524228230699
39,39,50,0,1.0,0.7836338418862691,0.9742209893666205,0.05271885345731615,997.0,511.0,749.72,175.98954968974724,336.0,34.0,200.12,88.79946846687766
40,40,50,0,1.0,0.6084142394822006,0.9720388349514564,0.06722798363940996,997.0,511.0,797.12,170.78180699360223,336.0,34.0,196.72,91.49907977679338
41,41,50,0,1.0,0.5578363384188627,0.9728321775312067,0.07473599161158447,997.0,511.0,808.72,154.25252542503154,336.0,20.0,203.62,91.07774481178154
