,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
0,0,50,33,0.6523143781784558,0.34144549941169766,0.009986130374479889,1.0,760.64,144.8117067090917,513.0,993.0,75.4,64.50519358935372,1.0,286.0
1,1,50,26,0.8982154415164123,0.10082599907345412,0.6930189551548774,1.0,734.96,135.58716163413112,513.0,988.0,100.42,55.34874524323022,27.0,260.0
2,2,50,20,0.9026925566343041,0.10703082787885279,0.6474341192787795,1.0,730.14,138.26973783152985,513.0,988.0,91.12,45.93283792669467,27.0,216.0
3,3,50,24,0.8879704114655571,0.1114640886286052,0.6295885344429034,1.0,706.2,137.34919002309408,513.0,988.0,93.58,52.56618304575671,27.0,234.0
4,4,50,27,0.8769116967175219,0.1244697337963442,0.6251502542764679,1.0,687.16,138.7810304040145,513.0,988.0,95.76,55.04200577740604,27.0,234.0
5,5,50,22,0.8641109570041609,0.11983667906890078,0.6251502542764679,1.0,691.04,142.14696057250046,513.0,988.0,83.72,47.67265044026816,27.0,234.0
6,6,50,25,0.8624096162736938,0.12860022085129205,0.6044382801664355,1.0,689.84,137.7792959772984,513.0,988.0,86.18,51.4729793192506,27.0,234.0
7,7,50,19,0.86488950531669,0.13077396920742076,0.6044382801664355,1.0,691.0,139.40846459236255,513.0,988.0,86.06,52.339816583553294,27.0,234.0
8,8,50,21,0.8648691631992602,0.13093440409293805,0.6044382801664355,1.0,702.9,148.5818629577648,513.0,988.0,87.88,59.32946654066595,27.0,273.0
9,9,50,26,0.8566010171058713,0.13994692335860415,0.6044382801664355,1.0,698.82,151.14029112053476,513.0,988.0,88.16,60.28643628545313,27.0,273.0
10,10,50,18,0.8681978733240869,0.1339186627330175,0.6044382801664355,1.0,712.86,158.40669304041415,513.0,988.0,92.72,67.0313478903714,27.0,273.0
11,11,50,16,0.8719833564493759,0.1346175513518609,0.6044382801664355,1.0,717.6,155.1609486952178,513.0,988.0,91.84,67.51603068901488,27.0,273.0
12,12,50,17,0.8685233472029588,0.13747478142047193,0.6008321775312067,1.0,726.94,154.2048520637402,513.0,988.0,88.28,66.46022569928574,24.0,273.0
13,13,50,23,0.8483069810448451,0.13932493566227083,0.6001849283402682,1.0,705.66,150.5280850871358,513.0,988.0,86.18,67.3325151765475,24.0,273.0
14,14,50,20,0.8463504392048081,0.1333546471730625,0.6001849283402682,1.0,712.76,149.27914254844848,513.0,988.0,72.9,46.026188197590294,24.0,216.0
15,15,50,17,0.8386389274156264,0.1338522934525839,0.6008321775312067,1.0,706.14,145.63351400004052,513.0,988.0,72.16,46.088332579949125,24.0,216.0
16,16,50,13,0.8471474803513638,0.13337923338027388,0.6008321775312067,1.0,714.7,146.54094990820826,513.0,988.0,74.82,48.96189947295754,24.0,216.0
17,17,50,13,0.8468885806749884,0.13463681650681955,0.6008321775312067,1.0,714.74,149.7258574862739,513.0,988.0,73.8,48.731919724139736,24.0,216.0
18,18,50,17,0.8363254738788719,0.13762359753458403,0.6008321775312067,1.0,712.24,151.46610974076015,513.0,988.0,70.3,43.86672998982258,24.0,216.0
19,19,50,18,0.8319796578825706,0.13958273400178453,0.6008321775312067,1.0,720.62,153.58540165002663,513.0,988.0,68.46,43.94460603987707,24.0,216.0
20,20,50,17,0.8489727230698105,0.14005617625168418,0.6008321775312067,1.0,690.74,143.04332350725076,513.0,988.0,74.86,43.33544046158987,24.0,180.0
21,21,50,18,0.8482662968099862,0.13928746855038682,0.6045307443365696,1.0,703.16,153.79848633845523,513.0,988.0,73.24,43.11035142515078,24.0,180.0
22,22,50,18,0.8460305131761442,0.13766214541657393,0.610078594544614,1.0,714.38,158.01049205669858,513.0,988.0,71.36,42.86619180659742,24.0,180.0
23,23,50,18,0.8573943596856219,0.131922775132893,0.610078594544614,1.0,706.52,160.89154607996034,513.0,988.0,74.04,42.2904055312786,24.0,180.0
24,24,50,14,0.8505261211280629,0.1282945477417293,0.610078594544614,1.0,692.38,162.28036110386248,513.0,988.0,74.64,42.952420187924226,24.0,180.0
25,25,50,20,0.8411946370781321,0.13547650945408865,0.6038834951456311,1.0,677.04,153.5666578395193,513.0,988.0,75.24,42.94627341225313,24.0,180.0
26,26,50,19,0.8572889505316691,0.1337514712401072,0.6038834951456311,1.0,691.4,151.40171729541248,513.0,988.0,75.74,42.561395653808155,24.0,180.0
27,27,50,16,0.8456717521960242,0.13870057679813694,0.6038834951456311,1.0,686.54,149.7985594056231,513.0,988.0,74.04,41.90511186001059,24.0,180.0
28,28,50,17,0.8584706426259824,0.13855670928489164,0.6038834951456311,1.0,701.7,157.57591821087382,513.0,988.0,73.14,38.79381909531466,24.0,180.0
